"ko_id","symbol","name"
"K07573"," CSL4, EXOSC1"," exosome complex component CSL4"
"K10878"," SPO11"," meiotic recombination protein SPO11"
"K00285"," dadA"," D-amino-acid dehydrogenase [EC:1.4.5.1]"
"K11982"," RNF115_126"," E3 ubiquitin-protein ligase RNF115/126 [EC:2.3.2.27]"
"K19041"," RNF38_44"," E3 ubiquitin-protein ligase RNF38/44 [EC:2.3.2.27]"
"K08798"," MARK"," MAP/microtubule affinity-regulating kinase [EC:2.7.11.1]"
"K02999"," RPA1, POLR1A"," DNA-directed RNA polymerase I subunit RPA1 [EC:2.7.7.6]"
"K14767"," UTP3, SAS10"," U3 small nucleolar RNA-associated protein 3"
"K02608"," ORC6"," origin recognition complex subunit 6"
"K00284"," GLU, gltS"," glutamate synthase (ferredoxin) [EC:1.4.7.1]"
"K02335"," polA"," DNA polymerase I [EC:2.7.7.7]"
"K00558"," DNMT1, dcm"," DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"
"K17656"," MSS51"," mitochondrial splicing suppressor protein 51"
"K00441"," frhB"," coenzyme F420 hydrogenase subunit beta [EC:1.12.98.1]"
"K11204"," GCLC"," glutamate--cysteine ligase catalytic subunit [EC:6.3.2.2]"
"K00816"," CCBL"," kynurenine---oxoglutarate transaminase / cysteine-S-conjugate beta-lyase / glutamine---phenylpyruvate transaminase [EC:2.6.1.7 4.4.1.13 2.6.1.64]"
"K09142"," SPOUT1"," methyltransferase [EC:2.1.1.-]"
"K14264"," BNA3"," kynurenine aminotransferase [EC:2.6.1.7]"
"K18327"," REXO4, REX4"," RNA exonuclease 4 [EC:3.1.-.-]"
"K01312"," PRSS1_2_3"," trypsin [EC:3.4.21.4]"
"K09640"," TMPRSS9"," transmembrane protease serine 9 [EC:3.4.21.-]"
"K01230"," MAN1A_C, MNS1_2"," mannosyl-oligosaccharide alpha-1,2-mannosidase [EC:3.2.1.113]"
"K00459"," ncd2, npd"," nitronate monooxygenase [EC:1.13.12.16]"
"K02355"," fusA, GFM, EFG"," elongation factor G"
"K00121"," frmA, ADH5, adhC"," S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]"
"K09838"," ZEP, ABA1"," zeaxanthin epoxidase [EC:1.14.15.21]"
"K07431"," CYP8B1"," sterol 12-alpha-hydroxylase [EC:1.14.14.139]"
"K05349"," bglX"," beta-glucosidase [EC:3.2.1.21]"
"K12880"," THOC3"," THO complex subunit 3"
"K13379"," RGP, UTM"," reversibly glycosylated polypeptide / UDP-arabinopyranose mutase [EC:2.4.1.- 5.4.99.30]"
"K06662"," HRAD17, RAD24"," cell cycle checkpoint protein"
"K11412"," SIRT2, SIR2L2"," NAD+-dependent protein deacetylase sirtuin 2 [EC:2.3.1.286]"
"K07115"," rlmJ"," 23S rRNA (adenine2030-N6)-methyltransferase [EC:2.1.1.266]"
"K09391"," E2F7_8"," transcription factor E2F7/8"
"K16054"," DEP1"," methylthioribulose 1-phosphate dehydratase / enolase-phosphatase E1 [EC:4.2.1.109 3.1.3.77]"
"K11493"," RCC1"," regulator of chromosome condensation"
"K10393"," KIF2_24, MCAK"," kinesin family member 2/24"
"K06709"," KDM4, JMJD2, JHDM3"," [histone H3]-trimethyl-L-lysine9/36 demethylase [EC:1.14.11.66 1.14.11.69]"
"K01649"," leuA, IMS"," 2-isopropylmalate synthase [EC:2.3.3.13]"
"K06269"," PPP1C"," serine/threonine-protein phosphatase PP1 catalytic subunit [EC:3.1.3.16]"
"K02575"," NRT2, narK, nrtP, nasA"," MFS transporter, NNP family, nitrate/nitrite transporter"
"K00323"," NNT"," H+-translocating NAD(P) transhydrogenase [EC:1.6.1.2 7.1.1.1]"
"K08770"," UBC"," ubiquitin C"
"K21440"," ANKRD50"," ankyrin repeat domain-containing protein 50"
"K20781"," SGT1"," peptidyl serine alpha-galactosyltransferase [EC:2.4.1.-]"
"K17785"," IMMT, MIC60"," MICOS complex subunit MIC60"
"K15920"," XYL4"," xylan 1,4-beta-xylosidase [EC:3.2.1.37]"
"K03885"," ndh"," NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]"
"K11885"," DDI1"," DNA damage-inducible protein 1"
"K07755"," AS3MT"," arsenite methyltransferase [EC:2.1.1.137]"
"K20951"," bap1"," extracellular matrix protein"
"K20952"," rbmC"," rugosity and biofilm structure modulator C"
"K07509"," HADHB"," acetyl-CoA acyltransferase [EC:2.3.1.16]"
"K21867"," AKT, KAT, GORK, SKOR"," potassium channel"
"K03715"," MGD"," 1,2-diacylglycerol 3-beta-galactosyltransferase [EC:2.4.1.46]"
"K11968"," ARIH1"," ariadne-1 [EC:2.3.2.31]"
"K12827"," SF3A3, SAP61, PRP9"," splicing factor 3A subunit 3"
"K06002"," PGA"," pepsin A [EC:3.4.23.1]"
"K03801"," lipB"," lipoyl(octanoyl) transferase [EC:2.3.1.181]"
"K14297"," NUP98, ADAR2, NUP116"," nuclear pore complex protein Nup98-Nup96"
"K14819"," DUSP12, YVH1"," dual specificity phosphatase 12 [EC:3.1.3.16 3.1.3.48]"
"K20216"," DUSP10"," dual specificity phosphatase 10 [EC:3.1.3.16 3.1.3.48]"
"K21946"," DUSP6"," dual specificity phosphatase 6 [EC:3.1.3.16 3.1.3.48]"
"K04505"," PSEN1, PS1"," presenilin 1 [EC:3.4.23.-]"
"K20404"," DEPDC5, SEA1"," SEA/GATOR complex protein SEA1/DEPDC5"
"K15198"," BDP1, TFC5"," transcription factor TFIIIB component B''"
"K08734"," MLH1"," DNA mismatch repair protein MLH1"
"K20865"," NLRP12"," NACHT, LRR and PYD domains-containing protein 12"
"K01092"," E3.1.3.25, IMPA, suhB"," myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]"
"K01166"," RNASET2"," ribonuclease T2 [EC:4.6.1.19]"
"K00472"," P4HA"," prolyl 4-hydroxylase [EC:1.14.11.2]"
"K09257"," NFKBIL2"," NF-kappa-B inhibitor-like protein 2"
"K17301"," COPB1, SEC26"," coatomer subunit beta"
"K09668"," LARGE"," glycosyltransferase-like protein LARGE [EC:2.4.2.- 2.4.1.-]"
"K17888"," ATG10L, ATG10"," ubiquitin-like-conjugating enzyme ATG10"
"K09553"," STIP1"," stress-induced-phosphoprotein 1"
"K20163"," DENND4"," DENN domain-containing protein 4"
"K06941"," rlmN"," 23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192]"
"K17618"," UBLCP1"," ubiquitin-like domain-containing CTD phosphatase 1 [EC:3.1.3.16]"
"K07140"," K07140"," uncharacterized protein"
"K00850"," pfkA, PFK"," 6-phosphofructokinase 1 [EC:2.7.1.11]"
"K07819"," B3GALT1"," beta-1,3-galactosyltransferase 1 [EC:2.4.1.86]"
"K07820"," B3GALT2"," beta-1,3-galactosyltransferase 2 [EC:2.4.1.86]"
"K06058"," DTX"," deltex [EC:2.3.2.27]"
"K00861"," RFK, FMN1"," riboflavin kinase [EC:2.7.1.26]"
"K05692"," ACTB_G1"," actin beta/gamma 1"
"K15371"," GDH2"," glutamate dehydrogenase [EC:1.4.1.2]"
"K00604"," MTFMT, fmt"," methionyl-tRNA formyltransferase [EC:2.1.2.9]"
"K01971"," ligD"," bifunctional non-homologous end joining protein LigD [EC:6.5.1.1]"
"K03086"," rpoD"," RNA polymerase primary sigma factor"
"K06867"," K06867"," uncharacterized protein"
"K06886"," glbN"," hemoglobin"
"K19828"," MTG1"," mitochondrial GTPase 1"
"K01493"," comEB"," dCMP deaminase [EC:3.5.4.12]"
"K00059"," fabG, OAR1"," 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"
"K10733"," GINS2, PSF2"," GINS complex subunit 2"
"K00784"," rnz"," ribonuclease Z [EC:3.1.26.11]"
"K11788"," ADE5"," phosphoribosylamine--glycine ligase / phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.4.13 6.3.3.1]"
"K00967"," PCYT2"," ethanolamine-phosphate cytidylyltransferase [EC:2.7.7.14]"
"K17512"," SHARK"," tyrosine-protein kinase shark [EC:2.7.10.2]"
"K13124"," MORG1"," mitogen-activated protein kinase organizer 1"
"K11855"," USP36_42"," ubiquitin carboxyl-terminal hydrolase 36/42 [EC:3.4.19.12]"
"K09611"," NPEPL1"," probable aminopeptidase NPEPL1 [EC:3.4.11.-]"
"K16302"," CNNM"," metal transporter CNNM"
"K12244"," GNT1"," [Skp1-protein]-hydroxyproline N-acetylglucosaminyltransferase [EC:2.4.1.229]"
"K04733"," IRAK4"," interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1]"
"K06287"," yhdE"," nucleoside triphosphate pyrophosphatase [EC:3.6.1.-]"
"K01069"," gloB, gloC, HAGH"," hydroxyacylglutathione hydrolase [EC:3.1.2.6]"
"K16912"," LAS1"," ribosomal biogenesis protein LAS1"
"K00525"," E1.17.4.1A, nrdA, nrdE"," ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]"
"K00526"," E1.17.4.1B, nrdB, nrdF"," ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]"
"K01590"," hdc, HDC"," histidine decarboxylase [EC:4.1.1.22]"
"K03510"," POLI"," DNA polymerase iota [EC:2.7.7.7]"
"K12864"," CTNNBL1"," beta-catenin-like protein 1"
"K03631"," recN"," DNA repair protein RecN (Recombination protein N)"
"K11849"," USP25"," ubiquitin carboxyl-terminal hydrolase 25 [EC:3.4.19.12]"
"K11853"," USP34"," ubiquitin carboxyl-terminal hydrolase 34 [EC:3.4.19.12]"
"K11858"," USP48"," ubiquitin carboxyl-terminal hydrolase 48 [EC:3.4.19.12]"
"K17973"," NAA25, MDM20"," N-terminal acetyltransferase B complex non-catalytic subunit"
"K01674"," cah"," carbonic anhydrase [EC:4.2.1.1]"
"K14686"," SLC31A1, CTR1"," solute carrier family 31 (copper transporter), member 1"
"K10575"," UBE2G1, UBC7"," ubiquitin-conjugating enzyme E2 G1 [EC:2.3.2.23]"
"K07004"," K07004"," uncharacterized protein"
"K01165"," RNASEL"," ribonuclease L"
"K03263"," EIF5A"," translation initiation factor 5A"
"K06119"," SQD2"," sulfoquinovosyltransferase [EC:2.4.1.-]"
"K09969"," aapJ, bztA"," general L-amino acid transport system substrate-binding protein"
"K20523"," SH3YL1"," SH3 domain-containing YSC84-like protein 1"
"K03574"," mutT, NUDT15, MTH2"," 8-oxo-dGTP diphosphatase [EC:3.6.1.55]"
"K01365"," CTSL"," cathepsin L [EC:3.4.22.15]"
"K01735"," aroB"," 3-dehydroquinate synthase [EC:4.2.3.4]"
"K00679"," E2.3.1.158"," phospholipid:diacylglycerol acyltransferase [EC:2.3.1.158]"
"K08900"," BCS1"," mitochondrial chaperone BCS1"
"K01001"," ALG7"," UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase [EC:2.7.8.15]"
"K16344"," LAMTOR5, HBXIP"," ragulator complex protein LAMTOR5"
"K20280"," TRAPPC5, TRS31"," trafficking protein particle complex subunit 5"
"K00888"," PI4KA"," phosphatidylinositol 4-kinase A [EC:2.7.1.67]"
"K19801"," PI4KB"," phosphatidylinositol 4-kinase B [EC:2.7.1.67]"
"K12601"," SKI8"," superkiller protein 8"
"K14724"," SLC9A8, NHE8"," solute carrier family 9 (sodium/hydrogen exchanger), member 8"
"K07427"," CYP4V"," docosahexaenoic acid omega-hydroxylase [EC:1.14.14.79]"
"K15001"," CYP4"," cytochrome P450 family 4 [EC:1.14.-.-]"
"K17953"," CYP31A"," cytochrome P450 family 31 subfamily A [EC:1.14.-.-]"
"K01192"," E3.2.1.25, MANBA, manB"," beta-mannosidase [EC:3.2.1.25]"
"K00859"," coaE"," dephospho-CoA kinase [EC:2.7.1.24]"
"K04460"," PPP5C"," serine/threonine-protein phosphatase 5 [EC:3.1.3.16]"
"K11835"," USP4_11, UBP12"," ubiquitin carboxyl-terminal hydrolase 4/11 [EC:3.4.19.12]"
"K11870"," UBP1"," ubiquitin carboxyl-terminal hydrolase 1 [EC:3.4.19.12]"
"K04047"," dps"," starvation-inducible DNA-binding protein"
"K00537"," arsC"," arsenate reductase (glutaredoxin) [EC:1.20.4.1]"
"K03386"," PRDX2_4, ahpC"," peroxiredoxin 2/4 [EC:1.11.1.24]"
"K03667"," hslU"," ATP-dependent HslUV protease ATP-binding subunit HslU"
"K02984"," RP-S3Ae, RPS3A"," small subunit ribosomal protein S3Ae"
"K14696"," SLC30A9, ZNT9"," solute carrier family 30 (zinc transporter), member 9"
"K03595"," era, ERAL1"," GTPase"
"K06671"," STAG1_2, SCC3, IRR1"," cohesin complex subunit SA-1/2"
"K01897"," ACSL, fadD"," long-chain acyl-CoA synthetase [EC:6.2.1.3]"
"K15711"," SMARCA3, HLTF"," SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A3 [EC:5.6.2. 2.3.2.27]"
"K09414"," HSF1"," heat shock transcription factor 1"
"K15505"," RAD5"," DNA repair protein RAD5 [EC:5.6.2.-]"
"K17675"," SUPV3L1, SUV3"," ATP-dependent RNA helicase SUPV3L1/SUV3 [EC:3.6.4.13]"
"K00873"," PK, pyk"," pyruvate kinase [EC:2.7.1.40]"
"K08864"," TLK"," tousled-like kinase [EC:2.7.11.1]"
"K14826"," FPR3_4"," FK506-binding nuclear protein [EC:5.2.1.8]"
"K00652"," bioF"," 8-amino-7-oxononanoate synthase [EC:2.3.1.47]"
"K08596"," SENP7"," sentrin-specific protease 7 [EC:3.4.22.68]"
"K00933"," E2.7.3.2"," creatine kinase [EC:2.7.3.2]"
"K00934"," E2.7.3.3"," arginine kinase [EC:2.7.3.3]"
"K14304"," NUP85"," nuclear pore complex protein Nup85"
"K03848"," ALG6"," alpha-1,3-glucosyltransferase [EC:2.4.1.267]"
"K16282"," RHA2"," E3 ubiquitin-protein ligase RHA2 [EC:2.3.2.27]"
"K08825"," DYRK1"," dual specificity tyrosine-phosphorylation-regulated kinase 1 [EC:2.7.12.1]"
"K11836"," USP5_13, UBP14"," ubiquitin carboxyl-terminal hydrolase 5/13 [EC:3.4.19.12]"
"K03924"," moxR"," MoxR-like ATPase [EC:3.6.3.-]"
"K00588"," E2.1.1.104"," caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]"
"K06051"," DLL"," delta"
"K21635"," JAG2"," jagged-2"
"K08884"," K08884"," serine/threonine protein kinase, bacterial [EC:2.7.11.1]"
"K08679"," GAE, cap1J"," UDP-glucuronate 4-epimerase [EC:5.1.3.6]"
"K17947"," wbiB"," dTDP-L-rhamnose 4-epimerase [EC:5.1.3.25]"
"K10151"," CCND2"," G1/S-specific cyclin-D2"
"K17800"," LETM1, MDM38"," LETM1 and EF-hand domain-containing protein 1, mitochondrial"
"K06443"," lcyB, crtL1, crtY"," lycopene beta-cyclase [EC:5.5.1.19]"
"K12661"," LRA3, rhmD"," L-rhamnonate dehydratase [EC:4.2.1.90]"
"K00972"," UAP1"," UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine diphosphorylase [EC:2.7.7.23 2.7.7.83]"
"K14437"," CHD7"," chromodomain-helicase-DNA-binding protein 7 [EC:5.6.2.-]"
"K12844"," PRPF31"," U4/U6 small nuclear ribonucleoprotein PRP31"
"K10798"," PARP2_3_4"," poly [ADP-ribose] polymerase 2/3/4 [EC:2.4.2.30]"
"K10370"," TMOD"," tropomodulin"
"K22030"," LMOD"," leiomodin"
"K10380"," ANK"," ankyrin"
"K15502"," ANKRD28"," serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A"
"K15503"," ANKRD44"," serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B"
"K17619"," MDP1"," magnesium-dependent phosphatase 1 [EC:3.1.3.48 3.1.3.-]"
"K13983"," MOV10L1"," RNA helicase MOV10L1 [EC:3.6.4.13]"
"K18422"," MOV10"," helicase MOV-10 [EC:3.6.4.13]"
"K00797"," speE, SRM, SPE3"," spermidine synthase [EC:2.5.1.16]"
"K19519"," TGFBI, BIGH3"," transforming growth factor-beta-induced protein"
"K09419"," HSFF"," heat shock transcription factor, other eukaryote"
"K12948"," SPCS3, SPC3"," signal peptidase complex subunit 3 [EC:3.4.-.-]"
"K05546"," GANAB"," mannosyl-oligosaccharide alpha-1,3-glucosidase [EC:3.2.1.207]"
"K01676"," E4.2.1.2A, fumA, fumB"," fumarate hydratase, class I [EC:4.2.1.2]"
"K04523"," UBQLN, DSK2"," ubiquilin"
"K14376"," PAP"," poly(A) polymerase [EC:2.7.7.19]"
"K06158"," ABCF3"," ATP-binding cassette, subfamily F, member 3"
"K07562"," NMD3"," 60S ribosomal export protein NMD3"
"K00088"," IMPDH, guaB"," IMP dehydrogenase [EC:1.1.1.205]"
"K12613"," DCP2"," mRNA-decapping enzyme subunit 2 [EC:3.6.1.62]"
"K00731"," C1GALT1"," glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase [EC:2.4.1.122]"
"K11366"," USP22_27_51, UBP8"," ubiquitin carboxyl-terminal hydrolase 22/27/51 [EC:3.4.19.12]"
"K11839"," USP8, UBP5"," ubiquitin carboxyl-terminal hydrolase 8 [EC:3.4.19.12]"
"K04417"," MAP3K9, MLK1"," mitogen-activated protein kinase kinase kinase 9 [EC:2.7.11.25]"
"K04418"," MAP3K10, MLK2"," mitogen-activated protein kinase kinase kinase 10 [EC:2.7.11.25]"
"K04419"," MAP3K11, MLK3"," mitogen-activated protein kinase kinase kinase 11 [EC:2.7.11.25]"
"K17534"," MLK4, KIAA1804"," mitogen-activated protein kinase kinase kinase MLK4 [EC:2.7.11.25]"
"K17906"," ATG2"," autophagy-related protein 2"
"K00262"," E1.4.1.4, gdhA"," glutamate dehydrogenase (NADP+) [EC:1.4.1.4]"
"K03240"," EIF2B5"," translation initiation factor eIF-2B subunit epsilon"
"K13289"," CTSA, CPY"," cathepsin A (carboxypeptidase C) [EC:3.4.16.5]"
"K09645"," CPVL"," vitellogenic carboxypeptidase-like protein [EC:3.4.16.-]"
"K16298"," SCPL-IV"," serine carboxypeptidase-like clade IV [EC:3.4.16.-]"
"K01399"," lasB"," pseudolysin [EC:3.4.24.26]"
"K01362"," OVCH"," ovochymase [EC:3.4.21.-]"
"K20111"," OVCH2"," oviductin [EC:3.4.21.120]"
"K08851"," TP53RK, PRPK, BUD32"," TP53 regulating kinase and related kinases [EC:2.7.11.1]"
"K15030"," EIF3M"," translation initiation factor 3 subunit M"
"K07093"," K07093"," uncharacterized protein"
"K14005"," SEC31"," protein transport protein SEC31"
"K20409"," WDR59, SEA3"," SEA/GATOR complex protein SEA3/WDR59"
"K03537"," POP5"," ribonuclease P/MRP protein subunit POP5 [EC:3.1.26.5]"
"K11322"," EPC"," enhancer of polycomb-like protein"
"K03107"," SRP68"," signal recognition particle subunit SRP68"
"K10773"," NTHL1, nth"," endonuclease III [EC:3.2.2.- 4.2.99.18]"
"K00969"," nadD"," nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]"
"K21804"," METTL21A"," protein N-lysine methyltransferase METTL21A [EC:2.1.1.-]"
"K21805"," METTL21C"," protein N-lysine methyltransferase METTL21C [EC:2.1.1.-]"
"K08717"," utp"," urea transporter"
"K04984"," TRPA1, ANKTM1"," transient receptor potential cation channel subfamily A member 1"
"K03061"," PSMC2, RPT1"," 26S proteasome regulatory subunit T1"
"K17578"," ZCCHC9"," zinc finger CCHC domain-containing protein 9"
"K03869"," CUL3"," cullin 3"
"K11754"," folC"," dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]"
"K12479"," VPS45"," vacuolar protein sorting-associated protein 45"
"K07481"," K07481"," transposase, IS5 family"
"K02650"," pilA"," type IV pilus assembly protein PilA"
"K06901"," pbuG, azgA, ghxP, ghxQ, adeQ"," adenine/guanine/hypoxanthine permease"
"K03231"," EEF1A"," elongation factor 1-alpha"
"K13431"," SRPR"," signal recognition particle receptor subunit alpha"
"K05034"," SLC6A1, GAT1"," solute carrier family 6 (neurotransmitter transporter, GABA) member 1"
"K07877"," RAB2A"," Ras-related protein Rab-2A"
"K08869"," ADCK, ABC1"," aarF domain-containing kinase"
"K16283"," SDIR1"," E3 ubiquitin-protein ligase SDIR1 [EC:2.3.2.27]"
"K05289"," GAA1"," GPI-anchor transamidase subunit GAA1"
"K05735"," PAK6"," p21-activated kinase 6 [EC:2.7.11.1]"
"K10572"," IPPK"," inositol-pentakisphosphate 2-kinase [EC:2.7.1.158]"
"K01630"," garL"," 2-dehydro-3-deoxyglucarate aldolase [EC:4.1.2.20]"
"K02510"," hpaI, hpcH"," 4-hydroxy-2-oxoheptanedioate aldolase [EC:4.1.2.52]"
"K15111"," SLC25A26"," solute carrier family 25 (mitochondrial S-adenosylmethionine transporter), member 26"
"K18328"," DBR1"," lariat debranching enzyme [EC:3.1.-.-]"
"K03424"," tatD"," TatD DNase family protein [EC:3.1.21.-]"
"K11985"," TRAIP, TRIP"," TRAF-interacting protein [EC:2.3.2.27]"
"K16296"," SCPL-I"," serine carboxypeptidase-like clade I [EC:3.4.16.-]"
"K00858"," ppnK, NADK"," NAD+ kinase [EC:2.7.1.23]"
"K01581"," E4.1.1.17, ODC1, speC, speF"," ornithine decarboxylase [EC:4.1.1.17]"
"K00036"," G6PD, zwf"," glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]"
"K12402"," AP4M1"," AP-4 complex subunit mu-1"
"K02320"," POLA1"," DNA polymerase alpha subunit A [EC:2.7.7.7]"
"K05292"," PIGT"," GPI-anchor transamidase subunit T"
"K14807"," DDX51, DBP6"," ATP-dependent RNA helicase DDX51/DBP6 [EC:3.6.4.13]"
"K15168"," MED25"," mediator of RNA polymerase II transcription subunit 25"
"K21777"," CCNB"," G2/mitotic-specific cyclin-B, other"
"K13091"," RBM23_39"," RNA-binding protein 23/39"
"K08337"," ATG7"," ubiquitin-like modifier-activating enzyme ATG7"
"K03972"," pspE"," phage shock protein E"
"K01661"," menB"," naphthoate synthase [EC:4.1.3.36]"
"K04940"," odh"," opine dehydrogenase [EC:1.5.1.28]"
"K08150"," SLC2A13, ITR"," MFS transporter, SP family, solute carrier family 2 (myo-inositol transporter), member 13"
"K01597"," MVD, mvaD"," diphosphomevalonate decarboxylase [EC:4.1.1.33]"
"K20129"," ANKFY1"," rabankyrin-5"
"K09499"," CCT7"," T-complex protein 1 subunit eta"
"K14209"," SLC36A, PAT"," solute carrier family 36 (proton-coupled amino acid transporter)"
"K17917"," SNX1_2"," sorting nexin-1/2"
"K00555"," TRMT1, trm1"," tRNA (guanine26-N2/guanine27-N2)-dimethyltransferase [EC:2.1.1.215 2.1.1.216]"
"K04077"," groEL, HSPD1"," chaperonin GroEL [EC:5.6.1.7]"
"K06641"," CHEK2"," serine/threonine-protein kinase CHEK2 [EC:2.7.11.1]"
"K16329"," psuG"," pseudouridylate synthase [EC:4.2.1.70]"
"K08794"," CAMK1"," calcium/calmodulin-dependent protein kinase I [EC:2.7.11.17]"
"K13412"," CPK"," calcium-dependent protein kinase [EC:2.7.11.1]"
"K17530"," DCLK3"," doublecortin-like kinase 3 [EC:2.7.11.1]"
"K05643"," ABCA3"," ATP-binding cassette, subfamily A (ABC1), member 3"
"K04371"," ERK, MAPK1_3"," mitogen-activated protein kinase 1/3 [EC:2.7.11.24]"
"K13975"," PATMK"," phagosome-associated TMK96"
"K10728"," TOPBP1"," topoisomerase (DNA) II binding protein 1"
"K11446"," KDM5, JARID1"," [histone H3]-trimethyl-L-lysine4 demethylase [EC:1.14.11.67]"
"K11447"," UTX, KDM6A"," lysine-specific demethylase 6A [EC:1.14.11.68]"
"K11478"," JARID2, JMJ"," protein Jumonji"
"K03665"," hflX"," GTPase"
"K00699"," UGT"," glucuronosyltransferase [EC:2.4.1.17]"
"K04628"," CGT, UGT8"," ceramide galactosyltransferase [EC:2.4.1.47]"
"K05841"," E2.4.1.173"," sterol 3beta-glucosyltransferase [EC:2.4.1.173]"
"K13806"," DAGL"," sn1-specific diacylglycerol lipase [EC:3.1.1.116]"
"K07179"," RIOK2"," RIO kinase 2 [EC:2.7.11.1]"
"K00814"," GPT, ALT"," alanine transaminase [EC:2.6.1.2]"
"K07114"," yfbK"," Ca-activated chloride channel homolog"
"K11886"," ECM29"," proteasome component ECM29"
"K01647"," CS, gltA"," citrate synthase [EC:2.3.3.1]"
"K02136"," ATPeF1G, ATP5C1, ATP3"," F-type H+-transporting ATPase subunit gamma"
"K13730"," inlA"," internalin A"
"K14570"," REX1, REXO1, REXO5, RNH70"," RNA exonuclease [EC:3.1.-.-]"
"K01113"," phoD"," alkaline phosphatase D [EC:3.1.3.1]"
"K07300"," chaA, CAX"," Ca2+:H+ antiporter"
"K00627"," DLAT, aceF, pdhC"," pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12]"
"K01835"," pgm"," phosphoglucomutase [EC:5.4.2.2]"
"K00963"," UGP2, galU, galF"," UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]"
"K20784"," XEG113"," arabinosyltransferase [EC:2.4.2.-]"
"K01951"," guaA, GMPS"," GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]"
"K02731"," PSMA7"," 20S proteasome subunit alpha 4 [EC:3.4.25.1]"
"K02736"," PSMB4"," 20S proteasome subunit beta 7 [EC:3.4.25.1]"
"K22390"," ACP7"," acid phosphatase type 7"
