"orfs","ko_iteration","ko_id","V1"
"NODE_10022_length_2408_cov_16.855246_g1602_i3.p3","ko:_2","K12619",NA
"NODE_10022_length_2408_cov_16.855246_g1602_i3.p3","ko:_3","K20553",NA
"NODE_10024_length_2407_cov_86.922022_g4130_i2.p1","ko:_1","K00726",NA
"NODE_10025_length_2407_cov_85.538989_g4461_i0.p1","ko:_1","K04860",NA
"NODE_10031_length_2407_cov_31.029991_g4063_i1.p9","ko:_1","K16862",NA
"NODE_10033_length_2406_cov_137.192027_g2608_i2.p1","ko:_1","K08994",NA
"NODE_10039_length_2406_cov_41.427347_g4468_i0.p2","ko:_1","K01802",NA
"NODE_10039_length_2406_cov_41.427347_g4468_i0.p2","ko:_2","K09566",NA
"NODE_10039_length_2406_cov_41.427347_g4468_i0.p2","ko:_3","K20412",NA
"NODE_10039_length_2406_cov_41.427347_g4468_i0.p1","ko:_1","K01802",NA
"NODE_10039_length_2406_cov_41.427347_g4468_i0.p1","ko:_2","K09566",NA
"NODE_10039_length_2406_cov_41.427347_g4468_i0.p1","ko:_3","K20412",NA
"NODE_1003_length_4732_cov_40.107105_g380_i1.p1","ko:_1","K04419",NA
"NODE_1003_length_4732_cov_40.107105_g380_i1.p4","ko:_1","K04419",NA
"NODE_10042_length_2406_cov_21.384483_g1241_i3.p2","ko:_1","K21989",NA
"NODE_10043_length_2406_cov_16.547364_g4470_i0.p1","ko:_1","K01019",NA
"NODE_10043_length_2406_cov_16.547364_g4470_i0.p1","ko:_2","K09675",NA
"NODE_10043_length_2406_cov_16.547364_g4470_i0.p1","ko:_3","K09676",NA
"NODE_10045_length_2405_cov_171.124357_g293_i6.p4","ko:_1","K15109",NA
"NODE_10046_length_2405_cov_142.508148_g4197_i1.p3","ko:_1","K14012",NA
"NODE_10047_length_2405_cov_101.762436_g3237_i2.p1","ko:_1","K09490",NA
"NODE_10047_length_2405_cov_101.762436_g3237_i2.p2","ko:_1","K09490",NA
"NODE_10048_length_2405_cov_54.045455_g3556_i3.p1","ko:_1","K16740",NA
"NODE_10050_length_2405_cov_43.201973_g3544_i1.p1","ko:_1","K18588",NA
"NODE_10052_length_2404_cov_5363.514372_g2787_i3.p4","ko:_1","K04079",NA
"NODE_10052_length_2404_cov_5363.514372_g2787_i3.p1","ko:_1","K04079",NA
"NODE_10055_length_2404_cov_48.076362_g4472_i0.p1","ko:_1","K21440",NA
"NODE_10056_length_2404_cov_42.190905_g4473_i0.p3","ko:_1","K08869",NA
"NODE_10056_length_2404_cov_42.190905_g4473_i0.p6","ko:_1","K08869",NA
"NODE_10061_length_2403_cov_156.548927_g571_i6.p1","ko:_1","K11808",NA
"NODE_10062_length_2403_cov_53.115451_g743_i6.p2","ko:_1","K03671",NA
"NODE_10062_length_2403_cov_53.115451_g743_i6.p2","ko:_2","K14007",NA
"NODE_10064_length_2403_cov_46.976395_g1271_i4.p1","ko:_1","K12830",NA
"NODE_10065_length_2403_cov_45.435622_g3994_i1.p1","ko:_1","K14376",NA
"NODE_10067_length_2403_cov_33.624893_g4478_i0.p1","ko:_1","K04739",NA
"NODE_10068_length_2403_cov_19.684549_g4479_i0.p2","ko:_1","K11665",NA
"NODE_10068_length_2403_cov_19.684549_g4479_i0.p2","ko:_2","K14301",NA
"NODE_10068_length_2403_cov_19.684549_g4479_i0.p2","ko:_3","K15285",NA
"NODE_1006_length_4729_cov_123.034364_g443_i0.p1","ko:_1","K10352",NA
"NODE_1006_length_4729_cov_123.034364_g443_i0.p3","ko:_1","K10352",NA
"NODE_10071_length_2403_cov_15.847639_g4482_i0.p4","ko:_1","K12870",NA
"NODE_10071_length_2403_cov_15.847639_g4482_i0.p4","ko:_2","K13675",NA
"NODE_10072_length_2403_cov_5.223176_g4483_i0.p1","ko:_1","K17710",NA
"NODE_10073_length_2402_cov_469.058394_g3552_i2.p1","ko:_1","K03253",NA
"NODE_10075_length_2402_cov_86.607986_g2846_i1.p1","ko:_1","K13183",NA
"NODE_10075_length_2402_cov_86.607986_g2846_i1.p1","ko:_2","K16911",NA
"NODE_10076_length_2402_cov_72.978532_g4485_i0.p1","ko:_1","K04646",NA
"NODE_10076_length_2402_cov_72.978532_g4485_i0.p1","ko:_2","K05310",NA
"NODE_10077_length_2402_cov_57.682696_g4486_i0.p1","ko:_1","K19525",NA
"NODE_10077_length_2402_cov_57.682696_g4486_i0.p1","ko:_2","K19527",NA
"NODE_10078_length_2402_cov_55.665092_g4487_i0.p1","ko:_1","K02370",NA
"NODE_10078_length_2402_cov_55.665092_g4487_i0.p4","ko:_1","K02366",NA
"NODE_10078_length_2402_cov_55.665092_g4487_i0.p4","ko:_2","K21988",NA
"NODE_10080_length_2402_cov_29.042078_g3855_i1.p1","ko:_1","K14437",NA
"NODE_10084_length_2401_cov_639.364261_g2847_i3.p6","ko:_1","K02266",NA
"NODE_10084_length_2401_cov_639.364261_g2847_i3.p1","ko:_1","K09561",NA
"NODE_10084_length_2401_cov_639.364261_g2847_i3.p1","ko:_2","K19613",NA
"NODE_10086_length_2401_cov_185.717354_g2707_i4.p3","ko:_1","K10900",NA
"NODE_10086_length_2401_cov_185.717354_g2707_i4.p3","ko:_2","K10901",NA
"NODE_10087_length_2401_cov_83.108247_g4491_i0.p1","ko:_1","K07198",NA
"NODE_10087_length_2401_cov_83.108247_g4491_i0.p3","ko:_1","K07198",NA
"NODE_1008_length_4728_cov_134.375081_g328_i2.p7","ko:_1","K00910",NA
"NODE_1008_length_4728_cov_134.375081_g328_i2.p1","ko:_1","K00910",NA
"NODE_10091_length_2401_cov_41.244416_g4492_i0.p4","ko:_1","K09667",NA
"NODE_10092_length_2401_cov_25.547680_g4493_i0.p4","ko:_1","K00478",NA
"NODE_10092_length_2401_cov_25.547680_g4493_i0.p4","ko:_2","K11449",NA
"NODE_10092_length_2401_cov_25.547680_g4493_i0.p4","ko:_3","K15601",NA
"NODE_10094_length_2401_cov_20.290378_g4495_i0.p1","ko:_1","K05124",NA
"NODE_10094_length_2401_cov_20.290378_g4495_i0.p1","ko:_2","K05125",NA
"NODE_10095_length_2400_cov_712.793296_g4496_i0.p2","ko:_1","K03522",NA
"NODE_10096_length_2400_cov_153.659218_g4497_i0.p1","ko:_1","K00028",NA
"NODE_10096_length_2400_cov_153.659218_g4497_i0.p1","ko:_2","K00029",NA
"NODE_10096_length_2400_cov_153.659218_g4497_i0.p1","ko:_3","K13117",NA
"NODE_10097_length_2400_cov_92.552213_g1679_i2.p1","ko:_1","K20098",NA
"NODE_10098_length_2400_cov_86.804469_g4498_i0.p1","ko:_1","K00545",NA
"NODE_10099_length_2400_cov_69.847443_g3318_i1.p1","ko:_1","K01230",NA
"NODE_1009_length_4728_cov_134.203008_g328_i3.p1","ko:_1","K00910",NA
"NODE_1009_length_4728_cov_134.203008_g328_i3.p7","ko:_1","K00910",NA
"NODE_100_length_7432_cov_21.661231_g36_i3.p1","ko:_1","K11840",NA
"NODE_100_length_7432_cov_21.661231_g36_i3.p1","ko:_2","K11853",NA
"NODE_100_length_7432_cov_21.661231_g36_i3.p1","ko:_3","K11869",NA
"NODE_10101_length_2400_cov_47.713795_g4499_i0.p2","ko:_1","K12823",NA
"NODE_10101_length_2400_cov_47.713795_g4499_i0.p4","ko:_1","K12823",NA
"NODE_10102_length_2400_cov_39.863773_g4500_i0.p2","ko:_1","K01835",NA
"NODE_10102_length_2400_cov_39.863773_g4500_i0.p4","ko:_1","K01835",NA
"NODE_10103_length_2400_cov_37.565105_g774_i3.p1","ko:_1","K11655",NA
"NODE_10104_length_2400_cov_33.033949_g4501_i0.p2","ko:_1","K01285",NA
"NODE_10104_length_2400_cov_33.033949_g4501_i0.p2","ko:_2","K02427",NA
"NODE_10104_length_2400_cov_33.033949_g4501_i0.p2","ko:_3","K06638",NA
"NODE_10104_length_2400_cov_33.033949_g4501_i0.p2","ko:_4","K15508",NA
"NODE_10104_length_2400_cov_33.033949_g4501_i0.p1","ko:_1","K03218",NA
"NODE_10104_length_2400_cov_33.033949_g4501_i0.p1","ko:_2","K15507",NA
"NODE_10107_length_2399_cov_241.139725_g3555_i1.p1","ko:_1","K01754",NA
"NODE_10108_length_2399_cov_133.620808_g3242_i1.p3","ko:_1","K01230",NA
"NODE_10111_length_2399_cov_43.085125_g4504_i0.p3","ko:_1","K20777",NA
"NODE_10112_length_2398_cov_1983.587527_g3746_i2.p1","ko:_1","K01637",NA
"NODE_10113_length_2398_cov_384.047312_g4505_i0.p5","ko:_1","K03686",NA
"NODE_10113_length_2398_cov_384.047312_g4505_i0.p5","ko:_2","K09503",NA
"NODE_10113_length_2398_cov_384.047312_g4505_i0.p1","ko:_1","K03686",NA
"NODE_10113_length_2398_cov_384.047312_g4505_i0.p1","ko:_2","K09503",NA
"NODE_10114_length_2398_cov_137.672258_g3791_i1.p1","ko:_1","K09523",NA
"NODE_10114_length_2398_cov_137.672258_g3791_i1.p1","ko:_2","K09527",NA
"NODE_10114_length_2398_cov_137.672258_g3791_i1.p1","ko:_3","K16365",NA
"NODE_10115_length_2398_cov_92.311828_g4506_i0.p1","ko:_1","K03654",NA
"NODE_10117_length_2398_cov_58.266237_g4508_i0.p2","ko:_1","K00344",NA
"NODE_10118_length_2398_cov_54.795699_g4509_i0.p2","ko:_1","K00700",NA
"NODE_10118_length_2398_cov_54.795699_g4509_i0.p2","ko:_2","K06883",NA
"NODE_10118_length_2398_cov_54.795699_g4509_i0.p2","ko:_3","K19513",NA
"NODE_10118_length_2398_cov_54.795699_g4509_i0.p1","ko:_1","K00700",NA
"NODE_10118_length_2398_cov_54.795699_g4509_i0.p1","ko:_2","K06883",NA
"NODE_10118_length_2398_cov_54.795699_g4509_i0.p1","ko:_3","K19513",NA
"NODE_10119_length_2398_cov_47.400860_g4510_i0.p4","ko:_1","K20784",NA
"NODE_10119_length_2398_cov_47.400860_g4510_i0.p1","ko:_1","K20784",NA
"NODE_10124_length_2398_cov_5.928172_g4512_i0.p1","ko:_1","K00428",NA
"NODE_10124_length_2398_cov_5.928172_g4512_i0.p1","ko:_2","K19525",NA
"NODE_10125_length_2397_cov_491.326162_g3581_i3.p1","ko:_1","K00218",NA
"NODE_10128_length_2396_cov_237.031855_g4514_i0.p3","ko:_1","K00031",NA
"NODE_10128_length_2396_cov_237.031855_g4514_i0.p1","ko:_1","K00031",NA
"NODE_10129_length_2396_cov_165.713732_g4200_i1.p1","ko:_1","K10798",NA
"NODE_10134_length_2396_cov_54.099871_g4515_i0.p1","ko:_1","K04460",NA
"NODE_10134_length_2396_cov_54.099871_g4515_i0.p1","ko:_2","K05917",NA
"NODE_1013_length_4725_cov_121.496561_g446_i0.p5","ko:_1","K01890",NA
"NODE_10140_length_2395_cov_148.320844_g3934_i1.p1","ko:_1","K00940",NA
"NODE_10140_length_2395_cov_148.320844_g3934_i1.p1","ko:_2","K01892",NA
"NODE_10140_length_2395_cov_148.320844_g3934_i1.p1","ko:_3","K20790",NA
"NODE_10141_length_2395_cov_103.302326_g4519_i0.p1","ko:_1","K04650",NA
"NODE_10141_length_2395_cov_103.302326_g4519_i0.p1","ko:_2","K06065",NA
"NODE_10145_length_2395_cov_32.796296_g4521_i0.p1","ko:_1","K08838",NA
"NODE_10145_length_2395_cov_32.796296_g4521_i0.p1","ko:_2","K20607",NA
"NODE_10147_length_2394_cov_57.785868_g2158_i3.p1","ko:_1","K05970",NA
"NODE_10147_length_2394_cov_57.785868_g2158_i3.p2","ko:_1","K05970",NA
"NODE_10148_length_2394_cov_35.372253_g4522_i0.p1","ko:_1","K18849",NA
"NODE_1014_length_4725_cov_96.370593_g447_i0.p6","ko:_1","K00960",NA
"NODE_1014_length_4725_cov_96.370593_g447_i0.p6","ko:_2","K10908",NA
"NODE_1014_length_4725_cov_96.370593_g447_i0.p6","ko:_3","K11446",NA
"NODE_10150_length_2394_cov_16.303748_g4524_i0.p1","ko:_1","K01426",NA
"NODE_10150_length_2394_cov_16.303748_g4524_i0.p1","ko:_2","K08332",NA
"NODE_10150_length_2394_cov_16.303748_g4524_i0.p1","ko:_3","K15528",NA
"NODE_10150_length_2394_cov_16.303748_g4524_i0.p1","ko:_4","K19176",NA
"NODE_10151_length_2393_cov_243.654310_g3596_i3.p1","ko:_1","K00919",NA
"NODE_10162_length_2393_cov_26.798276_g4529_i0.p2","ko:_1","K00738",NA
"NODE_10162_length_2393_cov_26.798276_g4529_i0.p2","ko:_2","K15109",NA
"NODE_10162_length_2393_cov_26.798276_g4529_i0.p2","ko:_3","K17768",NA
"NODE_10162_length_2393_cov_26.798276_g4529_i0.p1","ko:_1","K00738",NA
"NODE_10162_length_2393_cov_26.798276_g4529_i0.p1","ko:_2","K15109",NA
"NODE_10162_length_2393_cov_26.798276_g4529_i0.p1","ko:_3","K17768",NA
"NODE_10163_length_2393_cov_17.577586_g3429_i2.p1","ko:_1","K15014",NA
"NODE_10164_length_2393_cov_14.470259_g4530_i0.p1","ko:_1","K13525",NA
"NODE_10165_length_2392_cov_322.117292_g3199_i2.p5","ko:_1","K01431",NA
"NODE_10165_length_2392_cov_322.117292_g3199_i2.p5","ko:_2","K02735",NA
"NODE_10165_length_2392_cov_322.117292_g3199_i2.p5","ko:_3","K03660",NA
"NODE_10168_length_2392_cov_83.778353_g2311_i1.p2","ko:_1","K02692",NA
"NODE_10169_length_2392_cov_80.171194_g4532_i0.p1","ko:_1","K08864",NA
"NODE_10170_length_2392_cov_56.239759_g4533_i0.p4","ko:_1","K03254",NA
"NODE_10170_length_2392_cov_56.239759_g4533_i0.p4","ko:_2","K10624",NA
"NODE_10170_length_2392_cov_56.239759_g4533_i0.p1","ko:_1","K14651",NA
"NODE_10170_length_2392_cov_56.239759_g4533_i0.p1","ko:_2","K15407",NA
"NODE_10171_length_2392_cov_41.629150_g4194_i1.p1","ko:_1","K00972",NA
"NODE_10171_length_2392_cov_41.629150_g4194_i1.p1","ko:_2","K12447",NA
"NODE_10173_length_2392_cov_31.460543_g4146_i1.p1","ko:_1","K01312",NA
"NODE_10173_length_2392_cov_31.460543_g4146_i1.p1","ko:_2","K01317",NA
"NODE_10174_length_2392_cov_12.960759_g4535_i0.p1","ko:_1","K20291",NA
"NODE_10176_length_2391_cov_246.437015_g4189_i1.p1","ko:_1","K12878",NA
"NODE_10178_length_2391_cov_96.462036_g3622_i1.p1","ko:_1","K14411",NA
"NODE_10181_length_2391_cov_68.479724_g4539_i0.p1","ko:_1","K00864",NA
"NODE_10181_length_2391_cov_68.479724_g4539_i0.p2","ko:_1","K00864",NA
"NODE_10182_length_2391_cov_40.775237_g4120_i1.p1","ko:_1","K01872",NA
"NODE_10185_length_2391_cov_31.577653_g3390_i1.p1","ko:_1","K08900",NA
"NODE_10185_length_2391_cov_31.577653_g3390_i1.p8","ko:_1","K08900",NA
"NODE_10188_length_2390_cov_70.921450_g171_i9.p2","ko:_1","K19306",NA
"NODE_10192_length_2390_cov_33.732413_g3704_i2.p2","ko:_1","K06709",NA
"NODE_10193_length_2389_cov_547.327720_g3683_i1.p1","ko:_1","K04567",NA
"NODE_10193_length_2389_cov_547.327720_g3683_i1.p1","ko:_2","K10900",NA
"NODE_10195_length_2389_cov_344.490501_g4543_i0.p3","ko:_1","K01379",NA
"NODE_10195_length_2389_cov_344.490501_g4543_i0.p5","ko:_1","K01379",NA
"NODE_10196_length_2389_cov_267.768566_g4085_i1.p1","ko:_1","K08282",NA
"NODE_10197_length_2389_cov_178.388169_g2883_i3.p2","ko:_1","K00820",NA
"NODE_10198_length_2389_cov_124.173143_g2415_i3.p1","ko:_1","K12400",NA
"NODE_10198_length_2389_cov_124.173143_g2415_i3.p1","ko:_2","K20164",NA
"NODE_101_length_7430_cov_63.680712_g42_i0.p1","ko:_1","K14645",NA
"NODE_10200_length_2389_cov_65.727116_g4544_i0.p1","ko:_1","K08139",NA
"NODE_10200_length_2389_cov_65.727116_g4544_i0.p1","ko:_2","K08145",NA
"NODE_10201_length_2389_cov_29.395941_g2244_i3.p1","ko:_1","K00927",NA
"NODE_10204_length_2388_cov_126.887257_g126_i4.p1","ko:_1","K05665",NA
"NODE_10204_length_2388_cov_126.887257_g126_i4.p1","ko:_2","K05666",NA
"NODE_10204_length_2388_cov_126.887257_g126_i4.p2","ko:_1","K05665",NA
"NODE_10204_length_2388_cov_126.887257_g126_i4.p2","ko:_2","K05666",NA
"NODE_10206_length_2388_cov_47.801296_g1868_i1.p1","ko:_1","K04506",NA
"NODE_10209_length_2388_cov_23.008207_g4550_i0.p1","ko:_1","K09667",NA
"NODE_1020_length_4722_cov_41.562702_g143_i3.p1","ko:_1","K14572",NA
"NODE_1020_length_4722_cov_41.562702_g143_i3.p1","ko:_2","K14573",NA
"NODE_1020_length_4722_cov_41.562702_g143_i3.p1","ko:_3","K16913",NA
"NODE_10211_length_2387_cov_1825.394555_g2685_i1.p3","ko:_1","K09499",NA
"NODE_10211_length_2387_cov_1825.394555_g2685_i1.p2","ko:_1","K16732",NA
"NODE_10213_length_2387_cov_162.420916_g4552_i0.p3","ko:_1","K01265",NA
"NODE_10215_length_2387_cov_78.884183_g4554_i0.p1","ko:_1","K02519",NA
"NODE_10215_length_2387_cov_78.884183_g4554_i0.p3","ko:_1","K02519",NA
"NODE_10216_length_2387_cov_74.081677_g4555_i0.p2","ko:_1","K13071",NA
"NODE_10217_length_2387_cov_73.880726_g358_i6.p2","ko:_1","K14768",NA
"NODE_10217_length_2387_cov_73.880726_g358_i6.p3","ko:_1","K14768",NA
"NODE_10221_length_2386_cov_105.790316_g4558_i0.p1","ko:_1","K08798",NA
"NODE_10221_length_2386_cov_105.790316_g4558_i0.p1","ko:_2","K08799",NA
"NODE_10221_length_2386_cov_105.790316_g4558_i0.p5","ko:_1","K08798",NA
"NODE_10221_length_2386_cov_105.790316_g4558_i0.p5","ko:_2","K08799",NA
"NODE_10226_length_2386_cov_18.506269_g4561_i0.p1","ko:_1","K20784",NA
"NODE_10227_length_2385_cov_410.366349_g717_i6.p2","ko:_1","K05699",NA
"NODE_10229_length_2385_cov_118.495242_g4562_i0.p1","ko:_1","K16914",NA
"NODE_10229_length_2385_cov_118.495242_g4562_i0.p1","ko:_2","K17506",NA
"NODE_10229_length_2385_cov_118.495242_g4562_i0.p1","ko:_3","K21760",NA
"NODE_10230_length_2385_cov_68.031574_g4240_i1.p1","ko:_1","K20784",NA
"NODE_10233_length_2385_cov_28.449394_g3896_i1.p1","ko:_1","K00951",NA
"NODE_10233_length_2385_cov_28.449394_g3896_i1.p1","ko:_2","K06133",NA
"NODE_10235_length_2385_cov_19.480969_g4564_i0.p1","ko:_1","K11857",NA
"NODE_10238_length_2384_cov_55.300736_g3478_i1.p3","ko:_1","K03893",NA
"NODE_10239_length_2384_cov_51.205539_g3927_i1.p4","ko:_1","K15633",NA
"NODE_10239_length_2384_cov_51.205539_g3927_i1.p1","ko:_1","K15633",NA
"NODE_1023_length_4720_cov_69.292232_g451_i0.p4","ko:_1","K11446",NA
"NODE_1023_length_4720_cov_69.292232_g451_i0.p4","ko:_2","K14437",NA
"NODE_1023_length_4720_cov_69.292232_g451_i0.p1","ko:_1","K11446",NA
"NODE_1023_length_4720_cov_69.292232_g451_i0.p1","ko:_2","K14437",NA
"NODE_10244_length_2383_cov_74.143723_g4569_i0.p1","ko:_1","K06640",NA
"NODE_10244_length_2383_cov_74.143723_g4569_i0.p1","ko:_2","K13431",NA
"NODE_10244_length_2383_cov_74.143723_g4569_i0.p1","ko:_3","K21989",NA
"NODE_10246_length_2383_cov_48.602165_g4570_i0.p5","ko:_1","K04354",NA
"NODE_10246_length_2383_cov_48.602165_g4570_i0.p2","ko:_1","K04354",NA
"NODE_10247_length_2383_cov_47.423377_g4353_i1.p6","ko:_1","K15335",NA
"NODE_10247_length_2383_cov_47.423377_g4353_i1.p1","ko:_1","K15334",NA
"NODE_10247_length_2383_cov_47.423377_g4353_i1.p1","ko:_2","K15335",NA
"NODE_1024_length_4718_cov_237.299247_g452_i0.p8","ko:_1","K00888",NA
"NODE_1024_length_4718_cov_237.299247_g452_i0.p8","ko:_2","K19801",NA
"NODE_1024_length_4718_cov_237.299247_g452_i0.p4","ko:_1","K00888",NA
"NODE_1024_length_4718_cov_237.299247_g452_i0.p4","ko:_2","K19801",NA
"NODE_1024_length_4718_cov_237.299247_g452_i0.p2","ko:_1","K10643",NA
"NODE_1024_length_4718_cov_237.299247_g452_i0.p1","ko:_1","K00888",NA
"NODE_1024_length_4718_cov_237.299247_g452_i0.p1","ko:_2","K19801",NA
"NODE_10250_length_2382_cov_395.777393_g4571_i0.p4","ko:_1","K15275",NA
"NODE_10250_length_2382_cov_395.777393_g4571_i0.p2","ko:_1","K15275",NA
"NODE_10251_length_2382_cov_390.924643_g3642_i4.p1","ko:_1","K01876",NA
"NODE_10251_length_2382_cov_390.924643_g3642_i4.p1","ko:_2","K22503",NA
"NODE_10251_length_2382_cov_390.924643_g3642_i4.p2","ko:_1","K01876",NA
"NODE_10251_length_2382_cov_390.924643_g3642_i4.p2","ko:_2","K22503",NA
"NODE_10255_length_2382_cov_55.443482_g3478_i2.p2","ko:_1","K03893",NA
"NODE_1025_length_4717_cov_143.557924_g271_i1.p1","ko:_1","K20784",NA
"NODE_10260_length_2382_cov_29.257687_g3131_i1.p1","ko:_1","K15361",NA
"NODE_10261_length_2382_cov_18.521005_g4573_i0.p1","ko:_1","K09377",NA
"NODE_10263_length_2382_cov_12.455608_g4575_i0.p1","ko:_1","K20164",NA
"NODE_10264_length_2382_cov_5.702902_g4576_i0.p2","ko:_1","K02926",NA
"NODE_10265_length_2381_cov_362.347487_g3925_i1.p1","ko:_1","K01940",NA
"NODE_10265_length_2381_cov_362.347487_g3925_i1.p1","ko:_2","K01954",NA
"NODE_10266_length_2381_cov_183.303293_g1968_i3.p1","ko:_1","K01087",NA
"NODE_10266_length_2381_cov_183.303293_g1968_i3.p1","ko:_2","K16055",NA
"NODE_10266_length_2381_cov_183.303293_g1968_i3.p2","ko:_1","K01087",NA
"NODE_10266_length_2381_cov_183.303293_g1968_i3.p2","ko:_2","K16055",NA
"NODE_10268_length_2381_cov_68.464471_g4577_i0.p1","ko:_1","K03515",NA
"NODE_10269_length_2381_cov_57.054593_g223_i5.p3","ko:_1","K00287",NA
"NODE_1026_length_4717_cov_55.404823_g453_i0.p4","ko:_1","K08292",NA
"NODE_1026_length_4717_cov_55.404823_g453_i0.p1","ko:_1","K08292",NA
"NODE_10270_length_2381_cov_44.609619_g4257_i1.p2","ko:_1","K01855",NA
"NODE_10270_length_2381_cov_44.609619_g4257_i1.p3","ko:_1","K01855",NA
"NODE_10271_length_2381_cov_42.561958_g4577_i1.p3","ko:_1","K03515",NA
"NODE_10271_length_2381_cov_42.561958_g4577_i1.p1","ko:_1","K03515",NA
"NODE_10273_length_2381_cov_36.018631_g4282_i1.p1","ko:_1","K15073",NA
"NODE_10275_length_2380_cov_201.850455_g778_i6.p3","ko:_1","K12471",NA
"NODE_10277_length_2380_cov_85.348505_g4578_i0.p1","ko:_1","K05970",NA
"NODE_10278_length_2380_cov_79.480711_g2872_i1.p1","ko:_1","K21919",NA
"NODE_1027_length_4716_cov_215.934525_g268_i2.p1","ko:_1","K21362",NA
"NODE_10281_length_2380_cov_47.075856_g4580_i0.p1","ko:_1","K15102",NA
"NODE_10282_length_2380_cov_40.600780_g4581_i0.p1","ko:_1","K01809",NA
"NODE_10282_length_2380_cov_40.600780_g4581_i0.p1","ko:_2","K01886",NA
"NODE_10284_length_2380_cov_11.009970_g4582_i0.p1","ko:_1","K09955",NA
"NODE_10286_length_2379_cov_93.618387_g4277_i1.p1","ko:_1","K00944",NA
"NODE_10286_length_2379_cov_93.618387_g4277_i1.p1","ko:_2","K17593",NA
"NODE_10287_length_2379_cov_92.123157_g3195_i2.p1","ko:_1","K03797",NA
"NODE_10289_length_2379_cov_78.070252_g2948_i2.p1","ko:_1","K19603",NA
"NODE_10290_length_2379_cov_64.837814_g2685_i2.p5","ko:_1","K00545",NA
"NODE_10290_length_2379_cov_64.837814_g2685_i2.p5","ko:_2","K07238",NA
"NODE_10290_length_2379_cov_64.837814_g2685_i2.p1","ko:_1","K00545",NA
"NODE_10290_length_2379_cov_64.837814_g2685_i2.p1","ko:_2","K07238",NA
"NODE_10298_length_2378_cov_430.816920_g4586_i0.p2","ko:_1","K07513",NA
"NODE_10298_length_2378_cov_430.816920_g4586_i0.p2","ko:_2","K10527",NA
"NODE_10298_length_2378_cov_430.816920_g4586_i0.p5","ko:_1","K07513",NA
"NODE_10298_length_2378_cov_430.816920_g4586_i0.p5","ko:_2","K10527",NA
"NODE_1029_length_4714_cov_46.682181_g318_i1.p2","ko:_1","K22128",NA
"NODE_1029_length_4714_cov_46.682181_g318_i1.p1","ko:_1","K22128",NA
"NODE_10300_length_2378_cov_41.745770_g3052_i3.p1","ko:_1","K10614",NA
"NODE_10302_length_2378_cov_39.422993_g4223_i1.p3","ko:_1","K01829",NA
"NODE_10302_length_2378_cov_39.422993_g4223_i1.p3","ko:_2","K09580",NA
"NODE_10302_length_2378_cov_39.422993_g4223_i1.p3","ko:_3","K09584",NA
"NODE_10304_length_2378_cov_20.474620_g3863_i1.p1","ko:_1","K15102",NA
"NODE_10307_length_2378_cov_9.640347_g347_i2.p1","ko:_1","K05681",NA
"NODE_10308_length_2377_cov_202.368056_g4591_i0.p1","ko:_1","K02728",NA
"NODE_1030_length_4714_cov_39.398406_g403_i2.p1","ko:_1","K19525",NA
"NODE_10312_length_2377_cov_43.330295_g4594_i0.p3","ko:_1","K01593",NA
"NODE_10312_length_2377_cov_43.330295_g4594_i0.p1","ko:_1","K01593",NA
