"orfs","pfam_iteration","pfam_id"
"NODE_10017_length_1732_cov_29.587703_g6652_i0.p1","pfam_2","Sigma70_r3"
"NODE_10017_length_1732_cov_29.587703_g6652_i0.p1","pfam_3","Sigma70_r4"
"NODE_10019_length_1732_cov_15.544907_g6654_i0.p1","pfam_1","zf-MYND"
"NODE_1001_length_4088_cov_9.859776_g691_i0.p1","pfam_1","Guanylate_cyc"
"NODE_1001_length_4088_cov_9.859776_g691_i0.p1","pfam_2","HNOB"
"NODE_1001_length_4088_cov_9.859776_g691_i0.p1","pfam_3","HNOBA"
"NODE_10021_length_1732_cov_9.789030_g6655_i0.p1","pfam_1","Heme_oxygenase"
"NODE_10024_length_1731_cov_1123.558504_g6199_i1.p3","pfam_1","Annexin"
"NODE_10024_length_1731_cov_1123.558504_g6199_i1.p1","pfam_1","Annexin"
"NODE_10026_length_1731_cov_207.384198_g6657_i0.p1","pfam_1","CaMKII_AD"
"NODE_10026_length_1731_cov_207.384198_g6657_i0.p1","pfam_2","DUF4440"
"NODE_10027_length_1731_cov_87.660434_g6453_i2.p1","pfam_1","DUF3641"
"NODE_10027_length_1731_cov_87.660434_g6453_i2.p1","pfam_2","Radical_SAM"
"NODE_10028_length_1731_cov_80.848010_g6658_i0.p1","pfam_1","Abi"
"NODE_1002_length_4085_cov_219.038136_g665_i1.p1","pfam_1","DnaJ"
"NODE_10031_length_1731_cov_53.437877_g6510_i1.p1","pfam_1","RRM_1"
"NODE_10032_length_1731_cov_40.448130_g5975_i2.p2","pfam_1","CRCB"
"NODE_10033_length_1731_cov_29.390832_g6661_i0.p1","pfam_1","TLC"
"NODE_10035_length_1731_cov_12.430036_g6662_i0.p2","pfam_1","FA_hydroxylase"
"NODE_10035_length_1731_cov_12.430036_g6662_i0.p1","pfam_1","Phos_pyr_kin"
"NODE_10035_length_1731_cov_12.430036_g6662_i0.p1","pfam_2","TMP-TENI"
"NODE_10036_length_1731_cov_11.042220_g6663_i0.p1","pfam_1","GRAM"
"NODE_10036_length_1731_cov_11.042220_g6663_i0.p1","pfam_2","Glyco_transf_28"
"NODE_10036_length_1731_cov_11.042220_g6663_i0.p1","pfam_3","PH"
"NODE_10036_length_1731_cov_11.042220_g6663_i0.p1","pfam_4","UDPGT"
"NODE_10038_length_1731_cov_7.559710_g6664_i0.p1","pfam_1","Aldo_ket_red"
"NODE_10039_length_1731_cov_7.267189_g5989_i1.p1","pfam_1","RNA_ligase"
"NODE_1003_length_4084_cov_8.305659_g692_i0.p2","pfam_1","Guanylate_cyc"
"NODE_1003_length_4084_cov_8.305659_g692_i0.p2","pfam_2","PDEase_I"
"NODE_1003_length_4084_cov_8.305659_g692_i0.p1","pfam_1","Guanylate_cyc"
"NODE_1003_length_4084_cov_8.305659_g692_i0.p1","pfam_2","PDEase_I"
"NODE_10040_length_1731_cov_6.875754_g6665_i0.p1","pfam_1","2OG-FeII_Oxy_3"
"NODE_10040_length_1731_cov_6.875754_g6665_i0.p1","pfam_2","Methyltransf_24"
"NODE_10041_length_1731_cov_6.639928_g6666_i0.p1","pfam_1","CRAL_TRIO"
"NODE_10041_length_1731_cov_6.639928_g6666_i0.p1","pfam_2","CRAL_TRIO_N"
"NODE_10042_length_1730_cov_126.343392_g5562_i3.p1","pfam_1","F-box"
"NODE_10042_length_1730_cov_126.343392_g5562_i3.p1","pfam_2","FBA_2"
"NODE_10042_length_1730_cov_126.343392_g5562_i3.p1","pfam_3","Thioredoxin_8"
"NODE_10044_length_1730_cov_89.404949_g6134_i1.p2","pfam_1","LRR_6"
"NODE_10044_length_1730_cov_89.404949_g6134_i1.p2","pfam_2","NACHT"
"NODE_10044_length_1730_cov_89.404949_g6134_i1.p2","pfam_3","PYRIN"
"NODE_10044_length_1730_cov_89.404949_g6134_i1.p1","pfam_1","PDZ"
"NODE_10045_length_1730_cov_37.724804_g6668_i0.p2","pfam_1","Mito_carr"
"NODE_10048_length_1730_cov_17.552806_g6670_i0.p2","pfam_1","PseudoU_synth_2"
"NODE_10049_length_1730_cov_16.177429_g6671_i0.p1","pfam_1","Cyt-b5"
"NODE_10049_length_1730_cov_16.177429_g6671_i0.p1","pfam_2","FA_desaturase"
"NODE_1004_length_4084_cov_8.117676_g691_i1.p1","pfam_1","Guanylate_cyc"
"NODE_1004_length_4084_cov_8.117676_g691_i1.p1","pfam_2","HNOB"
"NODE_1004_length_4084_cov_8.117676_g691_i1.p1","pfam_3","HNOBA"
"NODE_10053_length_1730_cov_8.168377_g6520_i1.p1","pfam_1","PARP"
"NODE_10056_length_1729_cov_51.528986_g1111_i1.p1","pfam_1","Guanylate_cyc"
"NODE_10056_length_1729_cov_51.528986_g1111_i1.p1","pfam_2","PDEase_I"
"NODE_10058_length_1729_cov_29.607488_g6676_i0.p1","pfam_1","SAM_decarbox"
"NODE_1005_length_4083_cov_819.603741_g342_i2.p1","pfam_1","VWD"
"NODE_10061_length_1729_cov_6.628019_g6679_i0.p1","pfam_1","APH"
"NODE_10062_length_1729_cov_6.268116_g6626_i1.p1","pfam_1","DnaJ"
"NODE_10062_length_1729_cov_6.268116_g6626_i1.p1","pfam_2","DnaJ_C"
"NODE_10063_length_1729_cov_4.176329_g6680_i0.p1","pfam_1","FtsJ"
"NODE_10065_length_1728_cov_66.487009_g6681_i0.p1","pfam_1","Ank_4"
"NODE_10066_length_1728_cov_57.535952_g6682_i0.p2","pfam_1","DUF1445"
"NODE_10066_length_1728_cov_57.535952_g6682_i0.p1","pfam_1","DUF1445"
"NODE_10067_length_1728_cov_39.688822_g6683_i0.p1","pfam_1","PAP2"
"NODE_10067_length_1728_cov_39.688822_g6683_i0.p2","pfam_1","UBA"
"NODE_10067_length_1728_cov_39.688822_g6683_i0.p2","pfam_2","UQ_con"
"NODE_1006_length_4081_cov_69.235279_g693_i0.p2","pfam_1","EF-hand_1"
"NODE_1006_length_4081_cov_69.235279_g693_i0.p2","pfam_2","EF-hand_5"
"NODE_1006_length_4081_cov_69.235279_g693_i0.p2","pfam_3","Pkinase"
"NODE_1006_length_4081_cov_69.235279_g693_i0.p1","pfam_1","EF-hand_1"
"NODE_1006_length_4081_cov_69.235279_g693_i0.p1","pfam_2","EF-hand_5"
"NODE_1006_length_4081_cov_69.235279_g693_i0.p1","pfam_3","EF-hand_6"
"NODE_1006_length_4081_cov_69.235279_g693_i0.p1","pfam_4","EF-hand_7"
"NODE_1006_length_4081_cov_69.235279_g693_i0.p1","pfam_5","EF-hand_8"
"NODE_1006_length_4081_cov_69.235279_g693_i0.p1","pfam_6","Pkinase"
"NODE_10073_length_1727_cov_17.974607_g6686_i0.p1","pfam_1","Mito_carr"
"NODE_10074_length_1727_cov_14.853688_g6687_i0.p1","pfam_1","DUF4988"
"NODE_10074_length_1727_cov_14.853688_g6687_i0.p1","pfam_2","LRR_5"
"NODE_10075_length_1727_cov_12.006651_g6688_i0.p1","pfam_1","cNMP_binding"
"NODE_10076_length_1727_cov_9.940750_g6689_i0.p1","pfam_1","CitMHS"
"NODE_10077_length_1727_cov_9.594317_g6690_i0.p1","pfam_1","LRR_8"
"NODE_10079_length_1727_cov_8.845828_g3970_i1.p1","pfam_1","RCC1"
"NODE_10079_length_1727_cov_8.845828_g3970_i1.p2","pfam_1","Glyco_tranf_2_4"
"NODE_1007_length_4079_cov_26.272092_g694_i0.p1","pfam_1","AAA_16"
"NODE_1007_length_4079_cov_26.272092_g694_i0.p1","pfam_2","GAF"
"NODE_1007_length_4079_cov_26.272092_g694_i0.p1","pfam_3","GAF_2"
"NODE_1007_length_4079_cov_26.272092_g694_i0.p1","pfam_4","HAMP"
"NODE_1007_length_4079_cov_26.272092_g694_i0.p1","pfam_5","HATPase_c"
"NODE_1007_length_4079_cov_26.272092_g694_i0.p1","pfam_6","HisKA"
"NODE_1007_length_4079_cov_26.272092_g694_i0.p1","pfam_7","Pkinase"
"NODE_1007_length_4079_cov_26.272092_g694_i0.p1","pfam_8","Response_reg"
"NODE_10081_length_1727_cov_7.081620_g6691_i0.p1","pfam_1","Ank_5"
"NODE_10084_length_1727_cov_5.009674_g6693_i0.p1","pfam_1","RF-1"
"NODE_10085_length_1726_cov_132.973987_g4034_i2.p1","pfam_1","EGF_2"
"NODE_10086_length_1726_cov_130.477919_g6694_i0.p2","pfam_1","EamA"
"NODE_10087_length_1726_cov_125.194797_g4034_i3.p1","pfam_1","EGF_2"
"NODE_10088_length_1726_cov_106.583787_g5954_i1.p1","pfam_1","MFS_1"
"NODE_10089_length_1726_cov_56.100423_g5747_i1.p2","pfam_1","MCM_bind"
"NODE_1008_length_4078_cov_15.914357_g695_i0.p1","pfam_1","Cyt-b5"
"NODE_1008_length_4078_cov_15.914357_g695_i0.p1","pfam_2","FAD_binding_2"
"NODE_10090_length_1726_cov_41.278282_g6157_i1.p1","pfam_1","UBA"
"NODE_10090_length_1726_cov_41.278282_g6157_i1.p1","pfam_2","XPC-binding"
"NODE_10090_length_1726_cov_41.278282_g6157_i1.p1","pfam_3","ubiquitin"
"NODE_10094_length_1726_cov_29.064731_g6696_i0.p1","pfam_1","WD40"
"NODE_10095_length_1726_cov_20.090139_g6697_i0.p1","pfam_1","Kringle"
"NODE_10095_length_1726_cov_20.090139_g6697_i0.p1","pfam_2","Notch"
"NODE_10095_length_1726_cov_20.090139_g6697_i0.p1","pfam_3","P_proprotein"
"NODE_10095_length_1726_cov_20.090139_g6697_i0.p1","pfam_4","Peptidase_S8"
"NODE_10097_length_1726_cov_11.649123_g6663_i1.p1","pfam_1","GRAM"
"NODE_10097_length_1726_cov_11.649123_g6663_i1.p1","pfam_2","Glyco_transf_28"
"NODE_10097_length_1726_cov_11.649123_g6663_i1.p1","pfam_3","PH"
"NODE_10097_length_1726_cov_11.649123_g6663_i1.p1","pfam_4","UDPGT"
"NODE_10098_length_1726_cov_9.797943_g6698_i0.p1","pfam_1","DDE_Tnp_4"
"NODE_10098_length_1726_cov_9.797943_g6698_i0.p1","pfam_2","HTH_Tnp_4"
"NODE_10098_length_1726_cov_9.797943_g6698_i0.p1","pfam_3","THAP"
"NODE_10099_length_1726_cov_7.418633_g6699_i0.p1","pfam_1","Glyco_hydro_20"
"NODE_10099_length_1726_cov_7.418633_g6699_i0.p1","pfam_2","Glyco_hydro_20b"
"NODE_10099_length_1726_cov_7.418633_g6699_i0.p1","pfam_3","LRR_5"
"NODE_1009_length_4077_cov_469.040460_g567_i1.p2","pfam_1","Pyridoxal_deC"
"NODE_100_length_7075_cov_23.999714_g72_i0.p1","pfam_1","EF-hand_5"
"NODE_100_length_7075_cov_23.999714_g72_i0.p2","pfam_1","Kringle"
"NODE_100_length_7075_cov_23.999714_g72_i0.p2","pfam_2","Notch"
"NODE_100_length_7075_cov_23.999714_g72_i0.p2","pfam_3","P_proprotein"
"NODE_100_length_7075_cov_23.999714_g72_i0.p2","pfam_4","Peptidase_S8"
"NODE_10101_length_1725_cov_148.146489_g5279_i2.p1","pfam_1","ELFV_dehydrog"
"NODE_10102_length_1725_cov_144.958838_g5279_i3.p1","pfam_1","ELFV_dehydrog"
"NODE_10103_length_1725_cov_92.799637_g6312_i1.p1","pfam_1","Ank"
"NODE_10103_length_1725_cov_92.799637_g6312_i1.p1","pfam_2","Ank_2"
"NODE_10103_length_1725_cov_92.799637_g6312_i1.p1","pfam_3","Ank_3"
"NODE_10103_length_1725_cov_92.799637_g6312_i1.p1","pfam_4","Ank_4"
"NODE_10103_length_1725_cov_92.799637_g6312_i1.p1","pfam_5","COR"
"NODE_10103_length_1725_cov_92.799637_g6312_i1.p1","pfam_6","LRR_4"
"NODE_10103_length_1725_cov_92.799637_g6312_i1.p1","pfam_7","LRR_8"
"NODE_10103_length_1725_cov_92.799637_g6312_i1.p1","pfam_8","Pkinase"
"NODE_10103_length_1725_cov_92.799637_g6312_i1.p1","pfam_9","Pkinase_Tyr"
"NODE_10103_length_1725_cov_92.799637_g6312_i1.p1","pfam_10","Roc"
"NODE_10107_length_1725_cov_14.165254_g6703_i0.p1","pfam_1","Aldedh"
"NODE_10108_length_1725_cov_11.562349_g5753_i2.p1","pfam_1","Biopterin_H"
"NODE_1010_length_4077_cov_50.088911_g42_i15.p1","pfam_1","DUF3656"
"NODE_1010_length_4077_cov_50.088911_g42_i15.p1","pfam_2","Peptidase_U32"
"NODE_10111_length_1725_cov_6.673729_g6706_i0.p1","pfam_1","Lactamase_B_2"
"NODE_10111_length_1725_cov_6.673729_g6706_i0.p1","pfam_2","Lactamase_B_4"
"NODE_10111_length_1725_cov_6.673729_g6706_i0.p2","pfam_1","Sld5"
"NODE_10113_length_1724_cov_129.496063_g5562_i4.p1","pfam_1","F-box"
"NODE_10113_length_1724_cov_129.496063_g5562_i4.p1","pfam_2","FBA_2"
"NODE_10113_length_1724_cov_129.496063_g5562_i4.p1","pfam_3","Thioredoxin_8"
"NODE_10114_length_1724_cov_81.686856_g6707_i0.p1","pfam_1","Rtf2"
"NODE_10114_length_1724_cov_81.686856_g6707_i0.p1","pfam_2","zf-NOSIP"
"NODE_10115_length_1724_cov_48.869170_g3017_i2.p1","pfam_1","MatE"
"NODE_10116_length_1724_cov_46.229558_g6708_i0.p1","pfam_1","La"
"NODE_10116_length_1724_cov_46.229558_g6708_i0.p1","pfam_2","SUZ-C"
"NODE_10119_length_1724_cov_20.528770_g6710_i0.p1","pfam_1","UEV"
"NODE_10119_length_1724_cov_20.528770_g6710_i0.p1","pfam_2","Vps23_core"
"NODE_1011_length_4076_cov_15.488634_g696_i0.p1","pfam_1","ABC_tran"
"NODE_1011_length_4076_cov_15.488634_g696_i0.p1","pfam_2","CbiQ"
"NODE_10120_length_1724_cov_7.448213_g6711_i0.p1","pfam_1","AMP-binding"
"NODE_10120_length_1724_cov_7.448213_g6711_i0.p1","pfam_2","AMP-binding_C"
"NODE_10121_length_1724_cov_6.054512_g6712_i0.p2","pfam_1","2-oxoacid_dh"
"NODE_10121_length_1724_cov_6.054512_g6712_i0.p2","pfam_2","Biotin_lipoyl"
"NODE_10121_length_1724_cov_6.054512_g6712_i0.p2","pfam_3","E3_binding"
"NODE_10121_length_1724_cov_6.054512_g6712_i0.p4","pfam_1","SnoaL_2"
"NODE_10122_length_1723_cov_34.878788_g6713_i0.p1","pfam_1","GAF"
"NODE_10122_length_1723_cov_34.878788_g6713_i0.p1","pfam_2","PDEase_I"
"NODE_10123_length_1723_cov_31.193333_g6714_i0.p1","pfam_1","HA2"
"NODE_10125_length_1723_cov_12.756364_g6716_i0.p1","pfam_1","DUF4061"
"NODE_10125_length_1723_cov_12.756364_g6716_i0.p1","pfam_2","PCI"
"NODE_10126_length_1723_cov_11.303030_g5714_i1.p1","pfam_1","DUF111"
"NODE_10128_length_1723_cov_3.565455_g6718_i0.p2","pfam_1","Pkinase"
"NODE_1012_length_4075_cov_30.084458_g697_i0.p2","pfam_1","E1_dh"
"NODE_10130_length_1722_cov_67.312310_g5991_i1.p1","pfam_1","NB-ARC"
"NODE_10130_length_1722_cov_67.312310_g5991_i1.p1","pfam_2","TPR_12"
"NODE_10133_length_1722_cov_10.053972_g6720_i0.p1","pfam_1","Acetyltransf_1"
"NODE_10133_length_1722_cov_10.053972_g6720_i0.p1","pfam_2","Acetyltransf_10"
"NODE_10133_length_1722_cov_10.053972_g6720_i0.p1","pfam_3","PhzC-PhzF"
"NODE_10135_length_1721_cov_181.623786_g6722_i0.p1","pfam_1","Pkinase"
"NODE_10135_length_1721_cov_181.623786_g6722_i0.p2","pfam_1","Pkinase"
"NODE_10136_length_1721_cov_135.808252_g1672_i2.p1","pfam_1","HMG_box"
"NODE_10137_length_1721_cov_123.779733_g6723_i0.p2","pfam_1","zf-CHY"
"NODE_10137_length_1721_cov_123.779733_g6723_i0.p2","pfam_2","zf-RING_2"
"NODE_10137_length_1721_cov_123.779733_g6723_i0.p2","pfam_3","zinc_ribbon_6"
"NODE_10137_length_1721_cov_123.779733_g6723_i0.p1","pfam_1","zf-CHY"
"NODE_10137_length_1721_cov_123.779733_g6723_i0.p1","pfam_2","zf-RING_2"
"NODE_10137_length_1721_cov_123.779733_g6723_i0.p1","pfam_3","zinc_ribbon_6"
"NODE_10138_length_1721_cov_94.952063_g4872_i1.p1","pfam_1","BBE"
"NODE_10138_length_1721_cov_94.952063_g4872_i1.p1","pfam_2","FAD_binding_4"
"NODE_1013_length_4075_cov_11.474013_g698_i0.p1","pfam_1","Peptidase_C48"
"NODE_10140_length_1721_cov_37.398058_g6668_i1.p2","pfam_1","Mito_carr"
"NODE_10142_length_1721_cov_21.989684_g6726_i0.p1","pfam_1","DUF1736"
"NODE_10142_length_1721_cov_21.989684_g6726_i0.p1","pfam_2","TPR_16"
"NODE_10142_length_1721_cov_21.989684_g6726_i0.p1","pfam_3","TPR_8"
"NODE_10143_length_1721_cov_19.572816_g6727_i0.p1","pfam_1","LrgB"
"NODE_10143_length_1721_cov_19.572816_g6727_i0.p2","pfam_1","LrgB"
"NODE_10145_length_1721_cov_18.114078_g6587_i1.p1","pfam_1","ArfGap"
"NODE_10148_length_1721_cov_12.672330_g6729_i0.p1","pfam_1","RRM_1"
"NODE_10148_length_1721_cov_12.672330_g6729_i0.p1","pfam_2","eIF2A"
"NODE_10149_length_1721_cov_11.242112_g6730_i0.p1","pfam_1","His_Phos_2"
"NODE_10150_length_1721_cov_8.981189_g6731_i0.p1","pfam_1","HA"
"NODE_10151_length_1721_cov_6.054612_g6501_i1.p1","pfam_1","Ank"
"NODE_10151_length_1721_cov_6.054612_g6501_i1.p1","pfam_2","Ank_2"
"NODE_10151_length_1721_cov_6.054612_g6501_i1.p1","pfam_3","Ank_4"
"NODE_10152_length_1721_cov_4.625000_g6732_i0.p1","pfam_1","Peptidase_M3"
"NODE_10153_length_1720_cov_325.225258_g4465_i3.p1","pfam_1","PA"
"NODE_10154_length_1720_cov_90.377049_g6733_i0.p1","pfam_1","ATP-synt_ab"
"NODE_10154_length_1720_cov_90.377049_g6733_i0.p1","pfam_2","ATP-synt_ab_N"
"NODE_10155_length_1720_cov_86.166363_g6531_i1.p1","pfam_1","Pro_isomerase"
"NODE_10159_length_1720_cov_25.568306_g6115_i1.p1","pfam_1","Glyco_hydro_81"
"NODE_1015_length_4071_cov_13.141321_g658_i1.p1","pfam_1","DUF1620"
"NODE_10160_length_1720_cov_24.411050_g6115_i2.p1","pfam_1","Glyco_hydro_81"
"NODE_10163_length_1720_cov_8.701882_g6737_i0.p1","pfam_1","MtN3_slv"
"NODE_10164_length_1720_cov_8.256223_g6738_i0.p1","pfam_1","HSF_DNA-bind"
"NODE_10165_length_1720_cov_7.907711_g6739_i0.p1","pfam_1","DNA_pol_A_exo1"
"NODE_10166_length_1720_cov_7.156041_g6645_i1.p1","pfam_1","Lipase_3"
"NODE_10168_length_1720_cov_6.008500_g6373_i1.p1","pfam_1","Ank_2"
"NODE_10168_length_1720_cov_6.008500_g6373_i1.p1","pfam_2","Ank_4"
"NODE_10169_length_1719_cov_254.879708_g6741_i0.p1","pfam_1","MORN"
"NODE_1016_length_4070_cov_207.015512_g485_i2.p2","pfam_1","HA"
"NODE_10171_length_1719_cov_41.481774_g6743_i0.p1","pfam_1","Ank_2"
"NODE_10173_length_1719_cov_22.226610_g6745_i0.p1","pfam_1","CRAL_TRIO"
"NODE_10173_length_1719_cov_22.226610_g6745_i0.p1","pfam_2","Y_phosphatase"
"NODE_10175_length_1719_cov_13.835358_g6746_i0.p1","pfam_1","TPR_8"
"NODE_10177_length_1719_cov_7.656744_g6747_i0.p1","pfam_1","CRM1_C"
"NODE_1017_length_4070_cov_182.495622_g700_i0.p1","pfam_1","Guanylate_cyc"
"NODE_1017_length_4070_cov_182.495622_g700_i0.p1","pfam_2","PDEase_I"
"NODE_10183_length_1718_cov_14.055319_g6181_i1.p1","pfam_1","CRAL_TRIO"
"NODE_10184_length_1718_cov_9.202432_g6752_i0.p1","pfam_1","Ank_2"
"NODE_10184_length_1718_cov_9.202432_g6752_i0.p1","pfam_2","Ank_5"
"NODE_10184_length_1718_cov_9.202432_g6752_i0.p1","pfam_3","BTB"
"NODE_10189_length_1717_cov_29.722628_g6755_i0.p2","pfam_1","PAP_fibrillin"
"NODE_1018_length_4068_cov_64.268836_g701_i0.p1","pfam_1","Anoctamin"
"NODE_10190_length_1717_cov_27.736010_g6756_i0.p1","pfam_1","SSF"
"NODE_10191_length_1717_cov_21.658151_g2787_i1.p1","pfam_1","FAD_binding_8"
"NODE_10191_length_1717_cov_21.658151_g2787_i1.p1","pfam_2","Ferric_reduct"
"NODE_10191_length_1717_cov_21.658151_g2787_i1.p1","pfam_3","NAD_binding_6"
"NODE_10192_length_1717_cov_15.574818_g6757_i0.p2","pfam_1","MAPEG"
"NODE_10192_length_1717_cov_15.574818_g6757_i0.p1","pfam_1","Zeta_toxin"
"NODE_10193_length_1717_cov_15.484793_g6757_i1.p1","pfam_1","Zeta_toxin"
"NODE_10193_length_1717_cov_15.484793_g6757_i1.p2","pfam_1","MAPEG"
"NODE_10194_length_1717_cov_14.374088_g6758_i0.p1","pfam_1","Fumerase"
"NODE_10194_length_1717_cov_14.374088_g6758_i0.p1","pfam_2","Fumerase_C"
"NODE_1019_length_4067_cov_19.564847_g702_i0.p1","pfam_1","BTB"
"NODE_1019_length_4067_cov_19.564847_g702_i0.p1","pfam_2","Rep-A_N"
"NODE_10200_length_1716_cov_33.654291_g6760_i0.p1","pfam_1","DUF4079"
"NODE_10203_length_1716_cov_7.384662_g6762_i0.p1","pfam_1","AAA_16"
"NODE_10203_length_1716_cov_7.384662_g6762_i0.p1","pfam_2","EAL"
"NODE_10203_length_1716_cov_7.384662_g6762_i0.p1","pfam_3","GAF"
"NODE_10203_length_1716_cov_7.384662_g6762_i0.p1","pfam_4","GGDEF"
"NODE_10203_length_1716_cov_7.384662_g6762_i0.p1","pfam_5","Pkinase"
"NODE_10204_length_1716_cov_4.951309_g6198_i1.p1","pfam_1","Ank_2"
"NODE_10204_length_1716_cov_4.951309_g6198_i1.p1","pfam_2","Helo_like_N"
"NODE_10204_length_1716_cov_4.951309_g6198_i1.p1","pfam_3","NACHT"
"NODE_10205_length_1716_cov_4.373098_g6763_i0.p1","pfam_1","ABC_tran"
"NODE_10206_length_1715_cov_60.648599_g6764_i0.p1","pfam_1","Thiolase_C"
"NODE_10206_length_1715_cov_60.648599_g6764_i0.p1","pfam_2","Thiolase_N"
"NODE_10207_length_1715_cov_57.704629_g6765_i0.p1","pfam_1","PRP38"
"NODE_10208_length_1715_cov_32.901340_g6296_i1.p1","pfam_1","ADK"
"NODE_10208_length_1715_cov_32.901340_g6296_i1.p1","pfam_2","ADK_lid"
"NODE_1020_length_4067_cov_15.449174_g696_i1.p1","pfam_1","ABC_tran"
"NODE_1020_length_4067_cov_15.449174_g696_i1.p1","pfam_2","CbiQ"
"NODE_10210_length_1715_cov_27.930572_g6767_i0.p1","pfam_1","YCII"
"NODE_10210_length_1715_cov_27.930572_g6767_i0.p2","pfam_1","YCII"
"NODE_10211_length_1715_cov_16.154080_g6768_i0.p1","pfam_1","Peptidase_M14"
"NODE_10212_length_1715_cov_14.230816_g6769_i0.p1","pfam_1","Ceramidase"
"NODE_10216_length_1714_cov_145.279098_g6773_i0.p1","pfam_1","Enolase_C"
"NODE_10216_length_1714_cov_145.279098_g6773_i0.p1","pfam_2","Enolase_N"
"NODE_10219_length_1714_cov_32.095064_g6776_i0.p1","pfam_1","DnaJ"
"NODE_10219_length_1714_cov_32.095064_g6776_i0.p1","pfam_2","TPR_8"
"NODE_1021_length_4066_cov_63.031555_g703_i0.p1","pfam_1","Guanylate_cyc"
"NODE_1021_length_4066_cov_63.031555_g703_i0.p1","pfam_2","PDEase_I"
"NODE_10220_length_1714_cov_11.118221_g6777_i0.p1","pfam_1","Ank_2"
"NODE_10220_length_1714_cov_11.118221_g6777_i0.p1","pfam_2","Ank_3"
"NODE_10220_length_1714_cov_11.118221_g6777_i0.p1","pfam_3","CLTH"
"NODE_10220_length_1714_cov_11.118221_g6777_i0.p1","pfam_4","F-box"
"NODE_10220_length_1714_cov_11.118221_g6777_i0.p1","pfam_5","SPRY"
"NODE_10221_length_1714_cov_10.551493_g6778_i0.p1","pfam_1","Thioredoxin"
"NODE_10222_length_1714_cov_10.232785_g6779_i0.p1","pfam_1","DEAD"
"NODE_10222_length_1714_cov_10.232785_g6779_i0.p1","pfam_2","Helicase_C"
"NODE_10223_length_1714_cov_10.092626_g6777_i1.p1","pfam_1","Ank_2"
"NODE_10223_length_1714_cov_10.092626_g6777_i1.p1","pfam_2","Ank_3"
"NODE_10223_length_1714_cov_10.092626_g6777_i1.p1","pfam_3","CLTH"
"NODE_10223_length_1714_cov_10.092626_g6777_i1.p1","pfam_4","F-box"
"NODE_10223_length_1714_cov_10.092626_g6777_i1.p1","pfam_5","SPRY"
"NODE_10224_length_1714_cov_9.250457_g6779_i1.p1","pfam_1","DEAD"
"NODE_10224_length_1714_cov_9.250457_g6779_i1.p1","pfam_2","Helicase_C"
"NODE_10226_length_1713_cov_101.527439_g5652_i2.p2","pfam_1","CRAL_TRIO"
"NODE_10227_length_1713_cov_85.342073_g6781_i0.p1","pfam_1","Aa_trans"
"NODE_10227_length_1713_cov_85.342073_g6781_i0.p2","pfam_1","Aa_trans"
"NODE_10230_length_1713_cov_27.710976_g3605_i1.p1","pfam_1","Trypsin"
"NODE_10231_length_1713_cov_21.323780_g6783_i0.p1","pfam_1","SynMuv_product"
