File,DATE,TIME,PAR,Fo(or_F),Fm,FmDec,Fv,FvDEC,Fv/Fm,FvD/FmD,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,TauAv3,Fm(PAM),Fv/Fm(PAM),GAIN,MTF:Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,TauAv3,Fo-prime,qp-coeff,PAR,ETR,1/Tau,NPQ
04pFe19,3/31/22,481,0,45503,77434,78409,31932,32906,0.412,0.42,198,0.21,0.64,371,0.24,1764,0.13,98860,,,748,13201,0,48800,0.07,400,,,,,,,,,,,,48551.8,1,0,0,1337.7,0
04pFe21.9,3/31/22,785,0,8074,13640,13764,5566,5690,0.408,0.413,289.6,0.05,0.71,671,0.16,5483,0.13,130140,,,1564,18005,0,8998,0.1,1200,,,,,,,,,,,,8433.8,1,0,0,639.5,0
04pFe19,8/31/22,44744,0,16426,30933,31408,14507,14981,0.469,0.477,177.9,0.42,0.72,385,0.22,3224,0.06,281029,,,1044,19034,0,17465,0.06,800,,,,,,,,,,,,16729,1,0,0,957.5,0
04pFe19,8/31/22,44813,0,13020,21912,22199,8892,9179,0.406,0.413,186.3,0.39,0.73,431,0.2,3889,0.07,232814,,,1164,17330,0,13700,0.05,1000,,,,,,,,,,,,13305.5,1,0,0,858.9,0
04pFe21.9,8/31/22,44885,0,5741,10080,10416,4339,4675,0.43,0.449,210.9,0.29,0.62,407,0.3,3205,0.08,222209,,,1317,18066,0,6178,0.07,1400,,,,,,,,,,,,6041.9,1,0,0,759.3,0
04pFe21.9,9/14/22,51885,0,28742,47362,47873,18620,19131,0.393,0.4,245.3,0.27,0.65,500,0.25,4931,0.1,154000,,,1741,17321,0,30897,0.07,600,,,,,,,,,,,,29758.7,1,0,0,574.3,0
04pFe19,10/3/22,47434,0,5810,8665,8705,2855,2895,0.329,0.333,216.8,0.2,0.64,417,0.24,3536,0.12,104183,,,1257,13841,0,6120,0.05,1400,,,,,,,,,,,,6098.4,1,0,0,795.3,0
04pFe19,10/3/22,47491,0,74343,143802,143541,69459,69198,0.483,0.482,247.3,0.28,0.72,496,0.19,4658,0.09,203946,,,1350,20338,0,82522,0.1,200,,,,,,,,,,,,78416.2,1,0,0,740.9,0
04pFe19,10/6/22,54770,0,9053,18281,18882,9229,9830,0.505,0.521,253.5,0.33,0.7,410,0.22,3519,0.08,246625,,,1163,20355,0,10106,0.1,1200,,,,,,,,,,,,9596.4,1,0,0,859.8,0
04pFe19,9/26/22,46599,0,4412,7599,8104,3187,3692,0.419,0.456,189.8,0.39,0.72,407,0.22,3888,0.07,224527,,,1212,15749,0,4673,0.06,1600,,,,,,,,,,,,4628.6,1,0,0,824.8,0
04pFe21.9,9/26/22,46648,0,4450,6512,6819,2063,2369,0.317,0.347,270.2,0.11,0.48,618,0.42,6858,0.11,140933,,,3515,17987,0,4757,0.06,1600,,,,,,,,,,,,4799.2,1,0,0,284.5,0
04pFe19,9/26/22,49311,0,8450,14711,15009,6261,6559,0.426,0.437,186.8,0.4,0.74,409,0.2,4019,0.07,271906,,,1166,18887,0,8931,0.05,1200,,,,,,,,,,,,8700,1,0,0,857.6,0
04pFe19,9/26/22,49447,0,8354,14611,14943,6257,6589,0.428,0.441,185.8,0.39,0.74,405,0.2,4003,0.07,226054,,,1159,16578,0,8831,0.05,1200,,,,,,,,,,,,8617.1,1,0,0,863,0
04pFe19,10/11/22,50234,0,9512,20016,20020,10503,10507,0.525,0.525,240.5,0.32,0.69,393,0.23,3532,0.08,240941,,,1174,21522,0,10672,0.11,1000,,,,,,,,,,,,10106.2,1,0,0,851.6,0
06pFe19,9/26/22,50060,0,4169,8481,8891,4311,4722,0.508,0.531,157.7,0.32,0.63,426,0.31,2637,0.07,214558,,,1157,15111,0,4489,0.07,1400,,,,,,,,,,,,4327.6,1,0,0,864.3,0
06pFe21.9,9/26/22,50110,0,7155,9007,9076,1852,1922,0.206,0.212,223.8,0.09,0.38,748,0.52,4939,0.1,154268,,,3176,18992,0,7392,0.03,1400,,,,,,,,,,,,7313.6,1,0,0,314.8,0
06pFe21.9,9/26/22,50191,0,487,741,1076,254,590,0.343,0.548,201.1,0.25,0.77,774,0.21,4588,0.02,261726,,,1581,6448,0,513,0.05,2000,,,,,,,,,,,,640.2,1,0,0,632.7,0
06pFe19,8/31/22,45311,0,45572,81955,83667,36383,38095,0.444,0.455,165.5,0.28,0.58,476,0.32,3850,0.1,121531,,,1678,13098,0,48447,0.06,400,,,,,,,,,,,,46993.8,1,0,0,595.8,0
06pFe19,9/14/22,52431,0,47638,63495,63480,15857,15842,0.25,0.25,197.5,0.23,0.51,622,0.37,4613,0.13,102170,,,2297,14867,0,49140,0.03,400,,,,,,,,,,,,47041.2,1,0,0,435.3,0
06pFe21.9,9/14/22,52509,0,4480,6187,6415,1707,1935,0.276,0.302,205,0.04,0.13,310,0.58,5851,0.29,60000,,,4821,20741,0,4667,0.04,1600,,,,,,,,,,,,4705,1,0,0,207.4,0
06pFe19,10/3/22,48501,0,1118,1934,1947,817,830,0.422,0.426,216.3,0.04,0.57,585,0.35,3273,0.08,191097,,,1606,17555,0,1222,0.09,2000,,,,,,,,,,,,1203.8,1,0,0,622.5,0
06pFe19,9/26/22,50060,0,4169,8481,8891,4311,4722,0.508,0.531,157.7,0.32,0.63,426,0.31,2637,0.07,214558,,,1157,15111,0,4489,0.07,1400,,,,,,,,,,,,4327.6,1,0,0,864.3,0
06pFe21.9,9/26/22,50110,0,7155,9007,9076,1852,1922,0.206,0.212,223.8,0.09,0.38,748,0.52,4939,0.1,154268,,,3176,18992,0,7392,0.03,1400,,,,,,,,,,,,7313.6,1,0,0,314.8,0
06pFe21.9,9/26/22,50191,0,487,741,1076,254,590,0.343,0.548,201.1,0.25,0.77,774,0.21,4588,0.02,261726,,,1581,6448,0,513,0.05,2000,,,,,,,,,,,,640.2,1,0,0,632.7,0
06 pFe21.9,11/12/22,63519,0,8249,12471,13154,4222,4905,0.339,0.373,210.6,0.03,0.33,2464,0.58,5305,0.09,60000,,,4271,9248,0,8553,0.04,1200,,,,,,,,,,,,8959.1,1,0,0,234.1,0
06 pFe19,11/10/22,64592,0,2970,4671,4912,1701,1942,0.364,0.395,236.6,0.04,0.68,636,0.24,4220,0.08,178396,,,1574,14893,0,3197,0.07,1800,,,,,,,,,,,,3163.3,1,0,0,635.5,0
06 pFe19,11/4/22,63060,0,25431,42445,44169,17014,18739,0.401,0.424,247.6,0.03,0.7,478,0.23,3320,0.07,212047,,,1171,16969,0,27845,0.09,800,,,,,,,,,,,,27285.4,1,0,0,853.9,0
06 pFe21.9,11/4/22,63527,0,1238,1726,1819,489,581,0.283,0.32,253.6,0.03,0.47,1458,0.46,7362,0.07,142568,,,4370,13608,0,1296,0.04,2000,,,,,,,,,,,,1350.6,1,0,0,228.8,0
06 pFe21.9,11/7/22,60680,0,20224,29141,33171,8917,12947,0.306,0.39,193.5,0.03,0.02,6197,0.88,6515,0.1,60000,,,6510,12117,0,20801,0.03,800,,,,,,,,,,,,23748.3,1,0,0,153.6,0
08pFe19,8/3/22,51027,0,29013,49839,51082,20826,22069,0.418,0.432,157.3,0.39,0.73,390,0.17,2794,0.1,100400,,,851,10910,0,30388,0.05,600,,,,,,,,,,,,30208.5,1,0,0,1174.8,0
08pFe19,8/3/22,51414,0,36093,60317,63103,24224,27010,0.402,0.428,157.2,0.37,0.64,338,0.27,3739,0.08,129360,,,1352,12232,0,37744,0.04,600,,,,,,,,,,,,35779.2,1,0,0,739.8,0
08pFe19,8/10/22,60952,0,24048,38593,39479,14545,15431,0.377,0.391,164.1,0.34,0.76,430,0.16,5010,0.07,184835,,,1233,14635,0,25128,0.04,800,,,,,,,,,,,,24724.5,1,0,0,810.8,0
08pFe19,9/26/22,49673,0,11351,20465,20700,9114,9349,0.445,0.452,173,0.4,0.72,437,0.21,4943,0.07,223275,,,1437,17641,0,12014,0.06,1000,,,,,,,,,,,,11629,1,0,0,695.7,0
08pFe21.9,9/26/22,49842,0,1537,2442,2754,905,1217,0.371,0.442,253.6,0.29,0.53,370,0.39,4164,0.08,127277,,,1984,12063,0,1641,0.06,2000,,,,,,,,,,,,1734.8,1,0,0,503.9,0
08pFe21.9,3/18/22,1467,0,51469,93700,95050,42231,43581,0.451,0.459,309,0.05,0.62,544,0.29,3558,0.09,303828,,,1509,27226,0,58887,0.13,400,,,,,,,,,,,,55848.2,1,0,0,662.7,0
08pFe19,3/25/22,550,0,81802,99885,101296,18083,19494,0.181,0.192,209.8,0.03,0.38,589,0.47,4095,0.14,60000,,,2522,10807,0,83412,0.02,300,,,,,,,,,,,,82639.6,1,0,0,396.5,0
08pFe21.9,3/25/22,933,0,48691,60742,60926,12051,12235,0.198,0.201,294.5,0.06,0.66,680,0.24,4938,0.1,200470,,,1824,21847,0,50694,0.04,500,,,,,,,,,,,,49708.5,1,0,0,548.1,0
08pFe19,3/31/22,588,0,86623,169245,170184,82621,83561,0.488,0.491,227.7,0.29,0.73,513,0.16,5617,0.11,132744,,,1413,16369,0,95702,0.09,0,,,,,,,,,,,,92121.8,1,0,0,707.7,0
08pFe21.9,3/31/22,874,0,34227,56220,56842,21993,22615,0.391,0.398,285.8,0.05,0.68,706,0.2,6485,0.12,147341,,,2035,19372,0,37861,0.1,600,,,,,,,,,,,,35015.2,1,0,0,491.3,0
08pFe21.9,8/31/22,45092,0,34069,54051,54778,19981,20709,0.37,0.378,249.9,0.33,0.68,457,0.24,3495,0.08,227191,,,1259,19490,0,36233,0.06,600,,,,,,,,,,,,34759.8,1,0,0,794,0
08pFe19,9/13/22,60268,0,4303,5211,5419,908,1117,0.174,0.206,172.9,0.28,0.61,483,0.21,4873,0.17,60000,,,1613,11735,0,4373,0.02,1600,,,,,,,,,,,,4434.1,1,0,0,619.8,0
08pFe19,9/14/22,52189,0,37650,60078,60973,22428,23323,0.373,0.383,165.9,0.36,0.76,426,0.16,3889,0.08,142547,,,1027,12795,0,39258,0.04,400,,,,,,,,,,,,38352.5,1,0,0,973.8,0
08pFe21.9,10/3/22,49660,0,5467,9073,9028,3606,3561,0.397,0.394,290.3,0.25,0.74,532,0.15,5120,0.11,160873,,,1289,19497,0,5968,0.08,1400,,,,,,,,,,,,5758.5,1,0,0,775.5,0
08pFe19,10/5/22,64256,0,30157,64228,63912,34071,33755,0.53,0.528,270,0.37,0.47,498,0.14,7921,0.11,156542,,,1700,19310,0,34070,0.11,600,,,,,,,,,,,,32689.6,1,0,0,588.2,0
08pFe21.9,10/5/22,64671,0,6026,10935,11016,4910,4990,0.449,0.453,318.4,0.06,67,659,0.19,6237,0.13,138697,,,1888,20315,0,6922,0.13,1400,,,,,,,,,,,,6719.6,1,0,0,529.8,0
08pFe19,9/26/22,49673,0,11351,20465,20700,9114,9349,0.445,0.452,173,0.4,0.72,437,0.21,4943,0.07,223275,,,1437,17641,0,12014,0.06,1000,,,,,,,,,,,,11629,1,0,0,695.7,0
08pFe21.9,9/26/22,49842,0,1537,2442,2754,905,1217,0.371,0.442,253.6,0.29,0.53,370,0.39,4164,0.08,127277,,,1984,12063,0,1641,0.06,2000,,,,,,,,,,,,1734.8,1,0,0,503.9,0
13pFe19,11/20/22,69805,0,42550,79117,79530,36567,36980,0.462,0.465,232.2,0.03,0.68,727,0.23,5397,0.09,163809,,,1886,16731,0,47220,0.1,400,,,,,,,,,,,,45757.8,1,0,0,530.2,0
13pFe21.9,11/20/22,70472,0,18320,24577,27470,6257,9151,0.255,0.333,239.8,0.03,0.49,2226,0.34,29186,0.17,60000,,,13348,21294,0,19010,0.04,1000,,,,,,,,,,,,21945.4,1,0,0,74.9,0
13pFe19,11/12/22,60626,0,11956,22917,23183,10961,11227,0.478,0.484,267.8,0.13,0.67,527,0.25,3404,0.08,278157,,,1305,23899,0,13542,0.12,1000,,,,,,,,,,,,12850.4,1,0,0,766.5,0
13pFe21.9,11/12/22,61289,0,16496,25582,26680,9086,10184,0.355,0.382,240.8,0.03,0.46,1506,0.3,15037,0.24,60000,,,6842,19813,0,17441,0.05,1000,,,,,,,,,,,,18335.3,1,0,0,146.1,0
