File,DATE,TIME,PAR,Fo(or_F),Fm,FmDec,Fv,FvDEC,Fv/Fm,FvD/FmD,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,TauAv3,Fm(PAM),Fv/Fm(PAM),GAIN,MTF:Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,TauAv3,Fo-prime,qp-coeff,PAR,ETR,1/Tau,NPQ
06pFe21.9_B,12/2/22,75170,0,7011,9142,9597,2131,2586,0.233,0.269,227.2,0.03,0.5,1674,0.39,8209,0.11,60000,--------,-------,4543,10789,0,7206,0.03,1400,-------- -,------ --,------ -,------ -,-------,------- --,------,-------,-------- -,------- -,-------,7387.7,1,0,0,220.1,0
06pFe21.9_C,11/21/22,70556,0,5835,9036,9464,3201,3629,0.354,0.383,207.8,0.03,0.21,1544,0.66,8001,0.12,60000,--------,-------,6432,13110,0,6089,0.04,1400,--------,------- -,------- --,----- -,------- --,----- --,------,------- -,-------,--------,--------,6453.3,1,0,0,155.5,0
06Fe_add_A,12/3/22,79260,0,7964,13625,13705,5662,5742,0.416,0.419,264.1,0.06,0.76,643,0.16,4635,0.08,318585 --,------ -,------,1339,26065,0,8809,0.1,1200,--------,------- --,------ -,------ --,------,------- -,-------,------- -,-------,-------- -,-------,8489,1,0,0,746.7,0
06Fe_add_B,12/3/22,79852,0,7216,11086,11243,3870,4026,0.349,0.358,342.5,0.19,0.79,480,0.12,5845,0.09,272033 --,------ -,------,1183,24700,0,7878,0.08,1400,--------,------- --,------ -,------ --,------,------- -,-------,------- -,-------,-------- -,-------,7646.8,1,0,0,845.5,0
13pFe19_A,11/27/22,81732,0,13909,24234,25224,10325,11315,0.426,0.449,214.2,0.04,0.52,482,0.34,2301,0.14,60000,--------,-------,1196,9537,0,14968,0.07,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,14829.8,1,0,0,836.2,0
13pFe19_B,11/27/22,83017,0,14664,25690,26776,11025,12111,0.429,0.452,218.1,0.03,0.59,575,0.28,3083,0.12,78369,--------,-------,1381,10918,0,15915,0.08,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,15796.3,1,0,0,724,0
13pFe19_C,11/27/22,84264,0,14511,25288,26547,10778,12037,0.426,0.453,209.2,0.03,0.49,459,0.37,2261,0.14,60000,--------,-------,1231,9698,0,15589,0.07,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,15627.5,1,0,0,812.4,0
13pFe21.9_A,12/6/22,71543,0,7349,10078,10994,2729,3645,0.271,0.332,233.4,0.03,0.5,2060,0.42,30825,0.08,-60000,-------,-------,15193,18780,0,7620,0.04,1400,--------,------- ---,----- --,----- -,-------,------- -,------- -,------ -,------- -,-------,--------,8454.2,1,0,0,65.8,0
13pFe21.9_B,12/6/22,72089,0,7288,10237,11159,2949,3871,0.288,0.347,221.7,0.03,0.47,1879,0.45,32773,0.08,-60000,-------,-------,17074,20318,0,7587,0.04,1400,--------,------- ---,----- --,----- -,-------,------- -,------- -,------ -,------- -,-------,--------,8374.1,1,0,0,58.6,0
13pFe21.9_C,12/6/22,73427,0,9489,12649,13583,3160,4094,0.25,0.301,224.5,0.03,0.44,2267,0.48,31357,0.09,-60000,-------,-------,17454,21085,0,9800,0.03,1200,--------,------- ---,----- --,----- -,-------,------- -,------- -,------ -,------- -,-------,--------,10791.4,1,0,0,57.3,0
13Fe_add_A,12/7/22,70529,0,9940,16373,16862,6433,6922,0.393,0.411,234.5,0.03,0.64,854,0.28,7000,0.08,159394 --,------ -,------,2719,15087,0,10713,0.07,1200,--------,------- -,------- --,----- --,------ ---,----,--------,-------,--------,--------,--------,10472.6,1,0,0,367.8,0
13Fe_add_B,12/7/22,70985,0,12919,21499,21855,8580,8936,0.399,0.409,222.2,0.03,0.64,945,0.28,7945,0.08,159893 --,------ -,------,3109,15737,0,13883,0.07,1000,--------,------- -,------- --,----- --,------ ---,----,--------,-------,--------,--------,--------,13576.5,1,0,0,321.6,0
13Fe_add_C,12/7/22,71462,0,13498,22439,22912,8941,9414,0.398,0.411,223.8,0.03,0.64,905,0.28,7278,0.08,143353 --,------ -,------,2840,14393,0,14500,0.07,1000,--------,------- -,------- --,----- --,------ ---,----,--------,-------,--------,--------,--------,14196.7,1,0,0,352.2,0
06Fe_add_A,5/6/23,57929,0,10939,18432,18660,7493,7721,0.407,0.414,215.3,0.03,0.47,736,0.46,3146,0.07,235820,------ -,------,1922,17839,0,11787,0.07,1000,--------,------- -,------- -,------ -,-------,------- -,------- -,------,-------- -,------- -,-------,11205.8,1,0,0,520.4,0
06Fe_add_B,5/6/23,58347,0,8710,14282,14679,5572,5969,0.39,0.407,214.4,0.03,0.43,540,0.51,2836,0.07,200496,------ -,------,1788,14813,0,9326,0.07,1200,--------,------- -,------- -,------ -,-------,------- -,------- -,------,-------- -,------- -,-------,8933.6,1,0,0,559.4,0
06Fe_add_C,5/6/23,59359,0,6185,10181,10454,3996,4269,0.393,0.408,200.2,0.03,0.42,483,0.53,3111,0.06,186946,------ -,------,1948,12720,0,6571,0.06,1200,--------,------- -,------- -,------ -,-------,------- -,------- -,------,-------- -,------- -,-------,6299.5,1,0,0,513.3,0
13pFe21.9_A,5/4/23,52101,0,15340,18962,20627,3622,5288,0.191,0.256,242,0.03,0.5,2040,0.41,22862,0.09,60000,--------,-------,11416,15920,0,15672,0.02,1000,--------,------- --,------ -,------ -,------- --,----- -,------- --,-----,-------- -,------- -,-------,16640.8,1,0,0,87.6,0
13pFe21.9_B,5/4/23,53682,0,13558,17231,18474,3673,4915,0.213,0.266,224,0.04,0.52,1813,0.41,29817,0.07,60000,--------,-------,14104,17383,0,13913,0.03,1000,--------,------- --,------ -,------ -,------- --,----- -,------- --,-----,-------- -,------- -,-------,14515.2,1,0,0,70.9,0
13pFe21.9_C,5/4/23,54364,0,12268,16102,17389,3834,5120,0.238,0.294,217.6,0.03,0.44,1585,0.5,30596,0.06,60000,--------,-------,16934,19528,0,12644,0.03,1000,--------,------- --,------ -,------ -,------- --,----- -,------- --,-----,-------- -,------- -,-------,13232.1,1,0,0,59.1,0
06pFe21.9_A,5/5/23,57501,0,8911,12213,12544,3301,3632,0.27,0.29,234.7,0.03,0.18,2618,0.77,5009,0.05,253910,--------,-------,4562,17539,0,9251,0.04,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,9011.2,1,0,0,219.2,0
06pFe21.9_B,5/5/23,58154,0,9807,12841,13351,3034,3544,0.236,0.265,223.4,0.03,0.1,3293,0.85,5668,0.05,182635,--------,-------,5417,13747,0,10094,0.03,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,10020.2,1,0,0,184.6,0
06pFe21.9_C,5/5/23,58718,0,6898,9061,9486,2163,2588,0.239,0.273,219,0.03,0.12,3412,0.82,5539,0.06,103384,--------,-------,5266,11521,0,7095,0.03,1400,--------,-------,-------- -,------ -,------- -,------ --,------,-------,--------,--------,--------,7080.6,1,0,0,189.9,0
13Fe_add_A,5/5/23,59205,0,11959,20038,20268,8079,8309,0.403,0.41,241.1,0.03,0.43,1247,0.47,7942,0.1,125447,--------,-------,4725,16386,0,12896,0.07,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,12386.1,1,0,0,211.6,0
13Fe_add_B,5/5/23,59732,0,7977,13810,14033,5832,6056,0.422,0.432,234.5,0.03,0.42,1093,0.49,7458,0.1,131104,--------,-------,4517,16569,0,8660,0.08,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,8306.9,1,0,0,221.4,0
13Fe_add_C,5/5/23,60236,0,9526,16314,16554,6788,7028,0.416,0.425,226.6,0.03,0.3,759,0.55,4819,0.15,60000,--------,-------,3371,11921,0,10165,0.06,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,9714.6,1,0,0,296.7,0
