Culture,Taxa,Shelf,Treatment,rep,File,DATE,TIME,PAR,Fo(or_F),Fm,FmDec,Fv,FvDEC,Fv/Fm,FvD/FmD,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,TauAv3,Fm(PAM),Fv/Fm(PAM),GAIN,MTF:Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,TauAv3,Fo-prime,qp-coeff,PAR,ETR,1/Tau,NPQ
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,High Fe,a,06exp19a.000,11/10/22,62793,0,3136,5822,5980,2686,2845,0.461,0.476,216.2,0.03,0.64,631,0.29,3816,0.07,227740,--------,-------,1629,17086,0,3449,0.09,1600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3317.7,1,0,0,613.8,0
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,High Fe,a,06exp19a.001,11/10/22,62833,250,6502,6742,6777,239,274,0.035,0.04,134.3,0.16,0.1,1361,0.75,8669,0.15,60000,--------,-------,7844,15847,0,6522,0,1600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4723.7,0.12,250,55.1,127.5,-0.14
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,High Fe,a,06exp19a.002,11/10/22,62872,500,5742,6008,6034,266,292,0.044,0.048,146.3,0.04,0.2,1499,0.72,4826,0.08,465257,--------,-------,4090,39400,0,5775,0.01,1600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4124.9,0.14,500,137.1,244.5,-0.03
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,High Fe,a,06exp19a.003,11/10/22,62912,1000,4909,5049,5060,140,150,0.028,0.03,143.7,0.28,0.15,1691,0.73,4983,0.12,205701,--------,-------,4433,29205,0,4925,0,1600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3553.9,0.09,1000,171.8,225.6,0.15
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,High Fe,a,06exp19a.004,11/10/22,62952,1500,4170,4245,4256,76,87,0.018,0.02,97.1,0.31,0.28,1837,0.55,5927,0.17,176868,--------,-------,4544,33470,0,4178,0,1600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3245.1,0.08,1500,166.2,220,0.37
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,High Fe,a,06exp19a.005,11/10/22,62992,2000,3636,3688,3693,52,57,0.014,0.015,55.6,0.51,0.17,1317,0.42,6416,0.41,494427,--------,-------,4928,206831,0,3647,0,1600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3041.7,0.08,2000,175.4,202.9,0.58
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,High Fe,b,06exp19b.000,11/10/22,63295,0,7172,12287,12463,5114,5291,0.416,0.425,208.2,0.03,0.6,786,0.31,4928,0.09,140813,--------,-------,2182,14941,0,7756,0.08,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,7121.2,1,0,0,458.3,0
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,High Fe,b,06exp19b.001,11/10/22,63336,250,13132,13730,13789,598,656,0.044,0.048,146.2,0.07,0.15,1450,0.75,8919,0.09,352958,--------,-------,7653,39351,0,13209,0.01,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,9497.6,0.14,250,72.2,130.7,-0.11
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,High Fe,b,06exp19b.002,11/10/22,63376,500,11161,11788,11849,627,688,0.053,0.058,159.1,0.03,0.25,1405,0.68,4587,0.07,534407,--------,-------,3725,39531,0,11233,0.01,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,7999.3,0.17,500,176.1,268.5,0.04
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,High Fe,b,06exp19b.003,11/10/22,63417,1000,9376,9685,9723,309,347,0.032,0.036,150.9,0.31,0.21,1801,0.63,4763,0.16,177555,--------,-------,4018,32396,0,9417,0,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,6856.8,0.11,1000,211.2,248.9,0.27
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,High Fe,b,06exp19b.004,11/10/22,63458,1500,8004,8159,8165,155,161,0.019,0.02,144.6,0.43,0.21,1615,0.61,5348,0.19,168289,--------,-------,4394,35011,0,8022,0,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,6319.5,0.08,1500,189.3,227.6,0.51
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,High Fe,b,06exp19b.005,11/10/22,63498,2000,7069,7159,7180,89,111,0.012,0.015,84.4,0.5,0.2,1288,0.51,6938,0.28,316224,--------,-------,5326,93870,0,7085,0,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,5987.7,0.08,2000,165.1,187.8,0.72
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,High Fe,c,06pFe19.C.000,11/10/22,63968,0,19556,32762,33429,13206,13873,0.403,0.415,197.1,0.03,0.61,741,0.31,5437,0.08,136876,--------,-------,2315,13613,0,20927,0.07,800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,19642,1,0,0,432,0
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,High Fe,c,06pFe19.C.001,11/10/22,64008,250,38054,39612,39836,1558,1782,0.039,0.045,152.6,0.1,0.15,1478,0.76,9732,0.09,351382,--------,-------,8390,39860,0,38264,0.01,800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,27997.9,0.13,250,63.7,119.2,-0.17
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,High Fe,c,06pFe19.C.002,11/10/22,64049,500,34380,35966,36135,1586,1755,0.044,0.049,154,0.07,0.41,2070,0.49,7557,0.1,270493,--------,-------,5066,30618,0,34576,0.01,800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,24449.5,0.14,500,142.8,197.4,-0.09
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,High Fe,c,06pFe19.C.003,11/10/22,64089,1000,29480,30360,30455,880,975,0.029,0.032,140.1,0.26,0.35,1971,0.46,7501,0.2,177635,--------,-------,5113,39090,0,29615,0,800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,21312.1,0.1,1000,187.8,195.6,0.08
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,High Fe,c,06pFe19.C.004,11/10/22,64130,1500,24481,24974,25039,493,558,0.02,0.022,124.7,0.33,0.31,1552,0.47,7622,0.23,159961,--------,-------,5205,40254,0,24555,0,800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,19236.4,0.09,1500,191.7,192.1,0.31
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,High Fe,c,06pFe19.C.005,11/10/22,64171,2000,20918,21188,21236,270,318,0.013,0.015,104.7,0.4,0.27,1356,0.4,9057,0.33,240053,--------,-------,5978,84346,0,20981,0,800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,17676.3,0.08,2000,164.9,167.3,0.55
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,Low Fe,a,exp6fea.000,12/2/22,74773,0,6011,7733,8015,1722,2005,0.223,0.25,214.7,0.03,0.48,1988,0.4,8733,0.12,60000,--------,-------,5037,11739,0,6157,0.02,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,6155.8,1,0,0,198.5,0
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,Low Fe,a,exp6fea.001,12/2/22,74814,250,7573,7538,7507,-34,-66,-0.005,-0.009,517.8,0.04,0.93,31,0.04,9391,0.03,99625,--------,-------,427,3039,0,7566,0,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,5585.4,-0.02,250,-14.6,2342,0.03
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,Low Fe,a,exp6fea.002,12/2/22,74855,500,6313,6279,6253,-34,-59,-0.005,-0.009,526.8,0.04,0.97,29,0.01,7054,0.02,399752,--------,-------,111,9456,0,6304,0,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4842.8,-0.02,500,-34.1,9038.6,0.23
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,Low Fe,a,exp6fea.003,12/2/22,74895,1000,5349,5292,5281,-57,-68,-0.011,-0.013,541.3,0.03,0.39,247,0.57,8331,0.05,136425,--------,-------,5041,11034,0,5339,0,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4326.6,-0.06,1000,-137.9,198.4,0.46
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,Low Fe,a,exp6fea.004,12/2/22,74936,1500,4545,4511,4517,-35,-28,-0.008,-0.006,548.7,0.05,0.19,269,0.8,5284,0.01,60000,--------,-------,4334,4950,0,4549,0,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3938.4,-0.06,1500,-148.4,230.8,0.71
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,Low Fe,a,exp6fea.005,12/2/22,74977,2000,3964,3917,3904,-48,-60,-0.012,-0.015,532.2,0.04,0.1,582,0.86,9495,0.03,61451,--------,-------,8532,10256,0,3959,0,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3616.5,-0.16,2000,-310.3,117.2,0.97
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,Low Fe,b,06pFe21.9.B.000,12/2/22,75232,0,7175,9145,9581,1969,2405,0.215,0.251,215.4,0.03,0.5,1967,0.39,10877,0.11,60000,--------,-------,5861,11883,0,7343,0.02,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,7396.9,1,0,0,170.6,0
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,Low Fe,b,06pFe21.9.B.001,12/2/22,75272,250,8940,8862,8882,-78,-59,-0.009,-0.007,460.6,0.04,0.99,10,0,50,0,803928,--------,-------,10,1356,0,8927,0,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,6673.1,-0.04,250,-29,101613.2,0.03
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,Low Fe,b,06pFe21.9.B.002,12/2/22,75312,500,7672,7612,7593,-60,-79,-0.008,-0.01,543.6,0.04,0.99,16,0,4382,0.01,1106497,--------,-------,24,11540,0,7658,0,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,5904,-0.03,500,-52,41477.2,0.2
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,Low Fe,b,06pFe21.9.B.003,12/2/22,75351,1000,6627,6580,6574,-47,-53,-0.007,-0.008,545.9,0.04,0.51,234,0.45,7990,0.04,93127,--------,-------,3869,7687,0,6620,0,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,5395.8,-0.04,1000,-95.1,258.4,0.39
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,Low Fe,b,06pFe21.9.B.004,12/2/22,75391,1500,5726,5689,5680,-37,-46,-0.007,-0.008,1080.4,0.7,0.25,1072,0.63,8193,0.12,64853,--------,-------,6189,13152,0,5719,0,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4951.7,-0.05,1500,-130.3,161.6,0.61
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,Low Fe,b,06pFe21.9.B.005,12/2/22,75431,2000,5024,4972,4956,-52,-68,-0.011,-0.014,909.1,0.7,0.13,1902,0.78,11558,0.08,123431,--------,-------,10140,19260,0,5015,0,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4560,-0.13,2000,-279.6,98.6,0.84
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,Low Fe,c,06pFe21.9.C.000,11/21/22,70597,0,6222,9296,9733,3074,3512,0.331,0.361,203.8,0.03,0.23,2041,0.64,8723,0.13,60000,--------,-------,6981,13819,0,6463,0.04,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,6662,1,0,0,143.3,0
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,Low Fe,c,06pFe21.9.C.001,11/21/22,70638,250,9619,10032,10036,412,416,0.041,0.041,16.9,0.19,0.13,348,0.38,13335,0.48,1107017,--------,-------,9960,538747,0,9680,0.01,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,6781.5,0.13,250,83.8,100.4,-0.07
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,Low Fe,c,06pFe21.9.C.002,11/21/22,70678,500,8096,8192,8210,96,114,0.012,0.014,115.2,0.56,0.03,406,0.47,11385,0.5,1175162,--------,-------,10683,590134,0,8140,0.01,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,6009.1,0.04,500,47.9,93.6,0.13
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,Low Fe,c,06pFe21.9.C.003,11/21/22,70719,1000,6802,7057,7099,255,297,0.036,0.042,15.1,0.38,0.1,780,0.33,7660,0.57,1152816,--------,-------,6019,659381,0,6840,0.01,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,5261,0.14,1000,294.7,166.2,0.32
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,Low Fe,c,06pFe21.9.C.004,11/21/22,70760,1500,5718,5683,5665,-34,-53,-0.006,-0.009,540.1,0.04,0.96,25,0.03,4257,0.01,60000,--------,-------,136,763,0,5716,0,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4609.5,-0.03,1500,-74,7343.6,0.64
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,Low Fe,c,06pFe21.9.C.005,11/21/22,70801,2000,4896,4853,4839,-43,-57,-0.009,-0.012,971.7,0.7,0.28,1192,0.68,5978,0.04,60000,--------,-------,4600,6790,0,4893,0,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4151.3,-0.06,2000,-145.5,217.4,0.92
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,Iron Add-Back,a,exp6fea2.000,12/3/22,79344,0,8384,14255,14335,5871,5952,0.412,0.415,268.1,0.07,0.77,641,0.15,5005,0.08,281431,--------,-------,1336,24521,0,9270,0.1,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,8950.3,1,0,0,748.5,0
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,Iron Add-Back,a,exp6fea2.001,12/3/22,79385,250,19124,19577,19654,453,530,0.023,0.027,128.3,0.41,0.03,509,0.75,15170,0.22,622740,--------,-------,14544,147957,0,19225,0.01,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,13586.6,0.08,250,49.8,68.8,0.76
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,Iron Add-Back,a,exp6fea2.002,12/3/22,79426,500,17406,17898,17963,492,557,0.028,0.031,141.8,0.23,0.19,1728,0.67,6864,0.14,500351,--------,-------,5753,76018,0,17490,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,13609.1,0.11,500,118.6,173.8,0.92
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,Iron Add-Back,a,exp6fea2.003,12/3/22,79466,1000,15918,16170,16218,252,300,0.016,0.019,140.1,0.48,0.1,3926,0.7,3930,0.2,720916,--------,-------,3929,147231,0,15978,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,13704,0.1,1000,134.3,254.5,1.13
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,Iron Add-Back,a,exp6fea2.004,12/3/22,79507,1500,13995,14168,14190,173,194,0.012,0.014,63.3,0.22,0.21,1848,0.36,3090,0.43,1198380,--------,-------,2632,512238,0,14066,0.01,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,12942.1,0.14,1500,157.8,379.9,1.43
Gephyrocapsa oceanica,Coccolithophore,Inner shelf,Iron Add-Back,a,exp6fea2.005,12/3/22,79548,2000,12315,12528,12499,213,184,0.017,0.015,26.6,0.44,0.08,930,0.21,10576,0.7,1073571,--------,-------,7872,759119,0,12364,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,11772.5,0.28,2000,293.4,127,1.74
