"orfs","ko_iteration","ko_id"
"NODE_1011_length_4076_cov_15.488634_g696_i0.p1","ko:_2","K16786"
"NODE_1011_length_4076_cov_15.488634_g696_i0.p1","ko:_3","K16787"
"NODE_10120_length_1724_cov_7.448213_g6711_i0.p1","ko:_1","K00666"
"NODE_10120_length_1724_cov_7.448213_g6711_i0.p1","ko:_2","K02182"
"NODE_10120_length_1724_cov_7.448213_g6711_i0.p1","ko:_3","K20034"
"NODE_10121_length_1724_cov_6.054512_g6712_i0.p2","ko:_1","K00162"
"NODE_10121_length_1724_cov_6.054512_g6712_i0.p2","ko:_2","K00627"
"NODE_10122_length_1723_cov_34.878788_g6713_i0.p1","ko:_1","K13293"
"NODE_10123_length_1723_cov_31.193333_g6714_i0.p1","ko:_1","K12813"
"NODE_10125_length_1723_cov_12.756364_g6716_i0.p1","ko:_1","K12177"
"NODE_1012_length_4075_cov_30.084458_g697_i0.p2","ko:_1","K00161"
"NODE_10133_length_1722_cov_10.053972_g6720_i0.p1","ko:_1","K00669"
"NODE_10133_length_1722_cov_10.053972_g6720_i0.p1","ko:_2","K19952"
"NODE_10135_length_1721_cov_181.623786_g6722_i0.p1","ko:_1","K03644"
"NODE_10135_length_1721_cov_181.623786_g6722_i0.p2","ko:_1","K08796"
"NODE_10137_length_1721_cov_123.779733_g6723_i0.p2","ko:_1","K10144"
"NODE_10137_length_1721_cov_123.779733_g6723_i0.p1","ko:_1","K10144"
"NODE_10148_length_1721_cov_12.672330_g6729_i0.p1","ko:_1","K03253"
"NODE_10152_length_1721_cov_4.625000_g6732_i0.p1","ko:_1","K01414"
"NODE_10154_length_1720_cov_90.377049_g6733_i0.p1","ko:_1","K02147"
"NODE_10164_length_1720_cov_8.256223_g6738_i0.p1","ko:_1","K09419"
"NODE_10169_length_1719_cov_254.879708_g6741_i0.p1","ko:_1","K19755"
"NODE_10173_length_1719_cov_22.226610_g6745_i0.p1","ko:_1","K18038"
"NODE_10175_length_1719_cov_13.835358_g6746_i0.p1","ko:_1","K03354"
"NODE_10184_length_1718_cov_9.202432_g6752_i0.p1","ko:_1","K10520"
"NODE_10192_length_1717_cov_15.574818_g6757_i0.p2","ko:_1","K00799"
"NODE_10193_length_1717_cov_15.484793_g6757_i1.p2","ko:_1","K00799"
"NODE_10194_length_1717_cov_14.374088_g6758_i0.p1","ko:_1","K01676"
"NODE_10205_length_1716_cov_4.373098_g6763_i0.p1","ko:_1","K12608"
"NODE_10206_length_1715_cov_60.648599_g6764_i0.p1","ko:_1","K07508"
"NODE_10207_length_1715_cov_57.704629_g6765_i0.p1","ko:_1","K12850"
"NODE_10208_length_1715_cov_32.901340_g6296_i1.p1","ko:_1","K00944"
"NODE_1020_length_4067_cov_15.449174_g696_i1.p1","ko:_1","K16785"
"NODE_1020_length_4067_cov_15.449174_g696_i1.p1","ko:_2","K16786"
"NODE_1020_length_4067_cov_15.449174_g696_i1.p1","ko:_3","K16787"
"NODE_10216_length_1714_cov_145.279098_g6773_i0.p1","ko:_1","K01689"
"NODE_10219_length_1714_cov_32.095064_g6776_i0.p1","ko:_1","K09523"
"NODE_10227_length_1713_cov_85.342073_g6781_i0.p1","ko:_1","K13576"
"NODE_10227_length_1713_cov_85.342073_g6781_i0.p1","ko:_2","K14997"
"NODE_10227_length_1713_cov_85.342073_g6781_i0.p2","ko:_1","K13576"
"NODE_10227_length_1713_cov_85.342073_g6781_i0.p2","ko:_2","K14997"
"NODE_10230_length_1713_cov_27.710976_g3605_i1.p1","ko:_1","K09628"
"NODE_10230_length_1713_cov_27.710976_g3605_i1.p1","ko:_2","K09630"
"NODE_10230_length_1713_cov_27.710976_g3605_i1.p1","ko:_3","K09640"
"NODE_10232_length_1713_cov_18.218902_g6784_i0.p1","ko:_1","K00472"
"NODE_10238_length_1713_cov_9.776220_g6788_i0.p1","ko:_1","K18038"
"NODE_10239_length_1713_cov_6.975610_g6789_i0.p1","ko:_1","K17656"
"NODE_10250_length_1712_cov_13.507627_g3660_i1.p1","ko:_1","K18733"
"NODE_10255_length_1711_cov_18.274725_g6798_i0.p1","ko:_1","K02257"
"NODE_10262_length_1711_cov_7.381563_g4740_i2.p1","ko:_1","K06058"
"NODE_10264_length_1710_cov_482.662798_g6270_i1.p1","ko:_1","K03241"
"NODE_10264_length_1710_cov_482.662798_g6270_i1.p2","ko:_1","K02636"
"NODE_10265_length_1710_cov_220.838119_g6803_i0.p1","ko:_1","K12812"
"NODE_10267_length_1710_cov_21.384850_g6805_i0.p1","ko:_1","K12800"
"NODE_10271_length_1710_cov_5.985339_g6123_i1.p1","ko:_1","K04505"
"NODE_10272_length_1710_cov_5.079414_g6809_i0.p1","ko:_1","K02540"
"NODE_10279_length_1709_cov_7.488386_g6813_i0.p1","ko:_1","K08851"
"NODE_10280_length_1709_cov_4.204156_g6814_i0.p1","ko:_1","K01915"
"NODE_10280_length_1709_cov_4.204156_g6814_i0.p3","ko:_1","K04751"
"NODE_10285_length_1708_cov_21.488685_g6817_i0.p1","ko:_1","K04345"
"NODE_10286_length_1708_cov_20.946789_g6818_i0.p1","ko:_1","K18247"
"NODE_10291_length_1707_cov_317.551408_g6151_i1.p1","ko:_1","K07375"
"NODE_10297_length_1707_cov_6.604651_g6823_i0.p1","ko:_1","K11086"
"NODE_10297_length_1707_cov_6.604651_g6823_i0.p1","ko:_2","K14566"
"NODE_10297_length_1707_cov_6.604651_g6823_i0.p1","ko:_3","K22138"
"NODE_10297_length_1707_cov_6.604651_g6823_i0.p1","ko:_4","K22139"
"NODE_10298_length_1707_cov_6.271114_g6824_i0.p1","ko:_1","K06911"
"NODE_1029_length_4063_cov_25.068672_g708_i0.p2","ko:_1","K00505"
"NODE_1029_length_4063_cov_25.068672_g708_i0.p1","ko:_1","K00472"
"NODE_102_length_7050_cov_54.628924_g74_i0.p1","ko:_1","K21989"
"NODE_10305_length_1706_cov_55.748928_g676_i3.p1","ko:_1","K01953"
"NODE_10311_length_1706_cov_27.695652_g6830_i0.p1","ko:_1","K08334"
"NODE_10312_length_1706_cov_27.457440_g2677_i2.p2","ko:_1","K12524"
"NODE_10312_length_1706_cov_27.457440_g2677_i2.p1","ko:_1","K12524"
"NODE_10318_length_1706_cov_8.012860_g6835_i0.p1","ko:_1","K17637"
"NODE_10319_length_1706_cov_6.587263_g6835_i1.p1","ko:_1","K17637"
"NODE_1031_length_4061_cov_15.015797_g710_i0.p2","ko:_1","K19625"
"NODE_10320_length_1706_cov_3.718310_g6836_i0.p1","ko:_1","K14986"
"NODE_10338_length_1704_cov_5.897609_g6846_i0.p2","ko:_1","K09970"
"NODE_10338_length_1704_cov_5.897609_g6846_i0.p1","ko:_1","K09969"
"NODE_10339_length_1704_cov_3.292459_g6847_i0.p1","ko:_1","K10592"
"NODE_10339_length_1704_cov_3.292459_g6847_i0.p1","ko:_2","K14772"
"NODE_10339_length_1704_cov_3.292459_g6847_i0.p1","ko:_3","K17964"
"NODE_10339_length_1704_cov_3.292459_g6847_i0.p1","ko:_4","K22370"
"NODE_1033_length_4058_cov_69.510916_g712_i0.p1","ko:_1","K05658"
"NODE_10340_length_1703_cov_50.695092_g6848_i0.p1","ko:_1","K00382"
"NODE_10342_length_1703_cov_37.306748_g6850_i0.p1","ko:_1","K08998"
"NODE_10344_length_1703_cov_19.011043_g6851_i0.p2","ko:_1","K06013"
"NODE_10344_length_1703_cov_19.011043_g6851_i0.p1","ko:_1","K06013"
"NODE_10346_length_1703_cov_18.090184_g6853_i0.p1","ko:_1","K03070"
"NODE_1034_length_4058_cov_68.999749_g712_i1.p1","ko:_1","K05658"
"NODE_10350_length_1703_cov_13.842331_g6856_i0.p1","ko:_1","K10683"
"NODE_10350_length_1703_cov_13.842331_g6856_i0.p1","ko:_2","K17566"
"NODE_10358_length_1702_cov_34.583180_g6862_i0.p2","ko:_1","K00387"
"NODE_10358_length_1702_cov_34.583180_g6862_i0.p1","ko:_1","K00387"
"NODE_10360_length_1702_cov_10.487416_g6864_i0.p1","ko:_1","K09391"
"NODE_10362_length_1702_cov_5.846532_g6866_i0.p1","ko:_1","K00643"
"NODE_10363_length_1701_cov_166.041769_g6867_i0.p2","ko:_1","K12191"
"NODE_10363_length_1701_cov_166.041769_g6867_i0.p1","ko:_1","K12191"
"NODE_10364_length_1701_cov_63.272727_g6764_i1.p1","ko:_1","K07508"
"NODE_10365_length_1701_cov_19.177518_g6745_i1.p1","ko:_1","K18038"
"NODE_10366_length_1701_cov_15.927518_g6868_i0.p1","ko:_1","K00600"
"NODE_1036_length_4056_cov_85.310570_g713_i0.p2","ko:_1","K21411"
"NODE_10371_length_1700_cov_29.376152_g6870_i0.p1","ko:_1","K01571"
"NODE_10374_length_1700_cov_13.060848_g6873_i0.p1","ko:_1","K12006"
"NODE_10374_length_1700_cov_13.060848_g6873_i0.p1","ko:_2","K12800"
"NODE_10374_length_1700_cov_13.060848_g6873_i0.p1","ko:_3","K20865"
"NODE_10376_length_1699_cov_103.378844_g11_i3.p1","ko:_1","K04734"
"NODE_10376_length_1699_cov_103.378844_g11_i3.p1","ko:_2","K09553"
"NODE_10376_length_1699_cov_103.378844_g11_i3.p1","ko:_3","K16362"
"NODE_10379_length_1699_cov_30.100246_g6511_i1.p1","ko:_1","K16794"
"NODE_10381_length_1699_cov_21.230627_g6396_i1.p1","ko:_1","K01427"
"NODE_10384_length_1699_cov_12.619311_g6877_i0.p1","ko:_1","K00574"
"NODE_10384_length_1699_cov_12.619311_g6877_i0.p2","ko:_1","K01895"
"NODE_10388_length_1699_cov_5.072571_g6880_i0.p1","ko:_1","K00135"
"NODE_10389_length_1699_cov_4.396064_g6881_i0.p1","ko:_1","K14546"
"NODE_1038_length_4054_cov_68.997739_g493_i2.p2","ko:_1","K01090"
"NODE_10398_length_1698_cov_10.544000_g6350_i1.p1","ko:_1","K07952"
"NODE_103_length_7046_cov_277.144988_g75_i0.p1","ko:_1","K07735"
"NODE_10402_length_1698_cov_5.462769_g6889_i0.p1","ko:_1","K03327"
"NODE_10408_length_1697_cov_10.036946_g6893_i0.p1","ko:_1","K21776"
"NODE_10411_length_1697_cov_6.861453_g5089_i1.p1","ko:_1","K01069"
"NODE_10411_length_1697_cov_6.861453_g5089_i1.p1","ko:_2","K16912"
"NODE_10413_length_1697_cov_4.253079_g6763_i1.p1","ko:_1","K12608"
"NODE_10415_length_1696_cov_99.443623_g6896_i0.p1","ko:_1","K15290"
"NODE_10415_length_1696_cov_99.443623_g6896_i0.p1","ko:_2","K19902"
"NODE_10415_length_1696_cov_99.443623_g6896_i0.p1","ko:_3","K19905"
"NODE_10416_length_1696_cov_64.157116_g6897_i0.p1","ko:_1","K13293"
"NODE_10420_length_1696_cov_15.309920_g6900_i0.p1","ko:_1","K07093"
"NODE_10423_length_1696_cov_3.500308_g6901_i0.p2","ko:_1","K00003"
"NODE_10423_length_1696_cov_3.500308_g6901_i0.p1","ko:_1","K00872"
"NODE_10424_length_1695_cov_352.954994_g735_i6.p2","ko:_1","K07004"
"NODE_1042_length_4050_cov_106.413880_g666_i1.p1","ko:_1","K10949"
"NODE_1042_length_4050_cov_106.413880_g666_i1.p1","ko:_2","K11644"
"NODE_1042_length_4050_cov_106.413880_g666_i1.p1","ko:_3","K14442"
"NODE_10430_length_1695_cov_23.312577_g6907_i0.p1","ko:_1","K18038"
"NODE_10432_length_1695_cov_18.968557_g6909_i0.p1","ko:_1","K00847"
"NODE_10439_length_1694_cov_47.304750_g5943_i1.p1","ko:_1","K00472"
"NODE_10440_length_1694_cov_40.528069_g6914_i0.p1","ko:_1","K15030"
"NODE_10449_length_1693_cov_96.970988_g6920_i0.p1","ko:_1","K09839"
"NODE_10452_length_1693_cov_48.006173_g6923_i0.p1","ko:_1","K14617"
"NODE_10454_length_1693_cov_16.361728_g6924_i0.p1","ko:_1","K09497"
"NODE_10461_length_1693_cov_5.077778_g1858_i2.p1","ko:_1","K14439"
"NODE_10469_length_1692_cov_11.273008_g6864_i1.p1","ko:_1","K09391"
"NODE_10479_length_1691_cov_14.190977_g6940_i0.p1","ko:_1","K15507"
"NODE_10484_length_1691_cov_6.831891_g6944_i0.p1","ko:_1","K18696"
"NODE_10485_length_1690_cov_169.092146_g6389_i1.p1","ko:_1","K01626"
"NODE_10486_length_1690_cov_25.448980_g6945_i0.p1","ko:_1","K13412"
"NODE_10487_length_1690_cov_23.468151_g6946_i0.p1","ko:_1","K09523"
"NODE_1048_length_4046_cov_128.444500_g633_i1.p2","ko:_1","K10143"
"NODE_10494_length_1690_cov_11.127396_g6948_i0.p1","ko:_1","K08869"
"NODE_10495_length_1690_cov_10.376005_g6949_i0.p1","ko:_1","K01586"
"NODE_1049_length_4044_cov_13.951649_g720_i0.p1","ko:_1","K00249"
"NODE_1049_length_4044_cov_13.951649_g720_i0.p2","ko:_1","K00249"
"NODE_1049_length_4044_cov_13.951649_g720_i0.p8","ko:_1","K07734"
"NODE_10506_length_1689_cov_9.955446_g6954_i0.p1","ko:_1","K01008"
"NODE_1050_length_4042_cov_13.588561_g721_i0.p1","ko:_1","K07756"
"NODE_1050_length_4042_cov_13.588561_g721_i0.p1","ko:_2","K12483"
"NODE_1050_length_4042_cov_13.588561_g721_i0.p1","ko:_3","K19283"
"NODE_10513_length_1688_cov_111.299690_g6960_i0.p1","ko:_1","K06886"
"NODE_10523_length_1688_cov_6.256966_g6965_i0.p1","ko:_1","K19804"
"NODE_10524_length_1687_cov_133.001859_g6966_i0.p1","ko:_1","K14326"
"NODE_10525_length_1687_cov_20.789343_g6945_i1.p1","ko:_1","K13412"
"NODE_10529_length_1687_cov_12.832094_g6968_i0.p2","ko:_1","K07305"
"NODE_10539_length_1686_cov_11.235586_g6975_i0.p1","ko:_1","K11462"
"NODE_10539_length_1686_cov_11.235586_g6975_i0.p1","ko:_2","K17686"
"NODE_10539_length_1686_cov_11.235586_g6975_i0.p2","ko:_1","K11462"
"NODE_10543_length_1685_cov_40.757444_g6978_i0.p1","ko:_1","K20310"
"NODE_10548_length_1685_cov_12.944169_g6982_i0.p1","ko:_1","K00254"
"NODE_10561_length_1684_cov_26.391682_g6991_i0.p1","ko:_1","K07407"
"NODE_10570_length_1683_cov_102.773913_g6998_i0.p1","ko:_1","K06118"
"NODE_10572_length_1683_cov_30.572671_g1160_i2.p1","ko:_1","K01061"
"NODE_10572_length_1683_cov_30.572671_g1160_i2.p1","ko:_2","K11031"
"NODE_10579_length_1683_cov_5.311180_g7005_i0.p1","ko:_1","K04615"
"NODE_1057_length_4030_cov_21.483700_g726_i0.p1","ko:_1","K12254"
"NODE_1057_length_4030_cov_21.483700_g726_i0.p3","ko:_1","K18312"
"NODE_10582_length_1682_cov_125.543816_g1926_i2.p1","ko:_1","K06995"
"NODE_10583_length_1682_cov_40.446240_g7007_i0.p1","ko:_1","K10582"
"NODE_10587_length_1682_cov_12.608452_g7010_i0.p1","ko:_1","K01735"
"NODE_10588_length_1682_cov_8.837787_g7011_i0.p1","ko:_1","K01192"
"NODE_1058_length_4029_cov_180.340243_g727_i0.p1","ko:_1","K10395"
"NODE_105_length_7015_cov_28.089023_g70_i1.p2","ko:_1","K03005"
"NODE_105_length_7015_cov_28.089023_g70_i1.p2","ko:_2","K14861"
"NODE_10604_length_1680_cov_112.801493_g7023_i0.p1","ko:_1","K07766"
"NODE_10605_length_1680_cov_96.488488_g6405_i1.p1","ko:_1","K12304"
"NODE_10613_length_1680_cov_5.328563_g7028_i0.p2","ko:_1","K06901"
"NODE_10617_length_1679_cov_102.688045_g11_i4.p1","ko:_1","K04734"
"NODE_10617_length_1679_cov_102.688045_g11_i4.p1","ko:_2","K09553"
"NODE_10617_length_1679_cov_102.688045_g11_i4.p1","ko:_3","K16362"
"NODE_10618_length_1679_cov_73.641968_g7030_i0.p1","ko:_1","K19007"
"NODE_10618_length_1679_cov_73.641968_g7030_i0.p1","ko:_2","K19219"
"NODE_10619_length_1679_cov_57.629514_g7031_i0.p1","ko:_1","K07588"
"NODE_10619_length_1679_cov_57.629514_g7031_i0.p2","ko:_1","K07588"
"NODE_10623_length_1679_cov_26.054172_g6513_i1.p1","ko:_1","K18914"
"NODE_10626_length_1679_cov_16.897883_g7036_i0.p2","ko:_1","K01802"
"NODE_10629_length_1679_cov_13.254670_g6968_i1.p2","ko:_1","K07305"
"NODE_10639_length_1678_cov_125.338318_g7044_i0.p1","ko:_1","K08582"
"NODE_10644_length_1678_cov_28.366978_g7047_i0.p1","ko:_1","K09518"
"NODE_10644_length_1678_cov_28.366978_g7047_i0.p1","ko:_2","K18595"
"NODE_10644_length_1678_cov_28.366978_g7047_i0.p1","ko:_3","K18598"
"NODE_10648_length_1678_cov_10.702804_g7050_i0.p1","ko:_1","K06180"
"NODE_10653_length_1677_cov_215.778055_g7054_i0.p1","ko:_1","K01624"
"NODE_10654_length_1677_cov_163.068579_g4738_i1.p1","ko:_1","K09415"
"NODE_10655_length_1677_cov_82.753741_g7055_i0.p1","ko:_1","K18038"
"NODE_10658_length_1677_cov_48.534289_g3156_i2.p1","ko:_1","K00387"
"NODE_10659_length_1677_cov_44.306733_g3156_i3.p1","ko:_1","K00387"
"NODE_1065_length_4024_cov_185.936472_g558_i1.p2","ko:_1","K01958"
"NODE_1065_length_4024_cov_185.936472_g558_i1.p1","ko:_1","K01958"
"NODE_10663_length_1677_cov_5.219451_g7059_i0.p1","ko:_1","K12736"
"NODE_1066_length_4024_cov_10.954442_g133_i1.p1","ko:_1","K08798"
"NODE_10670_length_1676_cov_25.558952_g6513_i2.p1","ko:_1","K18914"
"NODE_10673_length_1676_cov_11.525889_g6975_i1.p2","ko:_1","K11462"
"NODE_10673_length_1676_cov_11.525889_g6975_i1.p1","ko:_1","K11462"
"NODE_10673_length_1676_cov_11.525889_g6975_i1.p1","ko:_2","K17686"
"NODE_10678_length_1675_cov_24.275905_g7070_i0.p2","ko:_1","K01054"
"NODE_1067_length_4022_cov_81.467460_g733_i0.p1","ko:_1","K01885"
"NODE_10682_length_1675_cov_14.305243_g4513_i1.p1","ko:_1","K04615"
"NODE_10692_length_1674_cov_29.589007_g2677_i3.p1","ko:_1","K12524"
"NODE_10692_length_1674_cov_29.589007_g2677_i3.p2","ko:_1","K09575"
"NODE_10692_length_1674_cov_29.589007_g2677_i3.p2","ko:_2","K09577"
"NODE_10697_length_1674_cov_6.079950_g7083_i0.p3","ko:_1","K03413"
"NODE_10697_length_1674_cov_6.079950_g7083_i0.p1","ko:_1","K03414"
"NODE_10698_length_1674_cov_4.176765_g7084_i0.p1","ko:_1","K14347"
"NODE_10699_length_1673_cov_56.196250_g7085_i0.p3","ko:_1","K08916"
"NODE_10699_length_1673_cov_56.196250_g7085_i0.p1","ko:_1","K01802"
"NODE_10699_length_1673_cov_56.196250_g7085_i0.p1","ko:_2","K03772"
"NODE_10699_length_1673_cov_56.196250_g7085_i0.p2","ko:_1","K08916"
"NODE_10701_length_1673_cov_24.739375_g7087_i0.p1","ko:_1","K18163"
"NODE_10703_length_1673_cov_14.354375_g6982_i1.p1","ko:_1","K00254"
"NODE_1070_length_4020_cov_28.262224_g734_i0.p2","ko:_1","K00627"
"NODE_10710_length_1672_cov_31.345841_g7093_i0.p1","ko:_1","K02016"
"NODE_10712_length_1672_cov_21.611632_g7094_i0.p1","ko:_1","K00121"
"NODE_10713_length_1672_cov_21.146341_g7095_i0.p1","ko:_1","K18170"
"NODE_10714_length_1672_cov_20.362727_g7094_i1.p1","ko:_1","K00121"
"NODE_1071_length_4019_cov_191.060568_g735_i0.p2","ko:_1","K07004"
"NODE_10722_length_1671_cov_18.395494_g7101_i0.p1","ko:_1","K12176"
"NODE_1072_length_4018_cov_52.296071_g687_i1.p1","ko:_1","K07198"
"NODE_1072_length_4018_cov_52.296071_g687_i1.p2","ko:_1","K13342"
"NODE_10733_length_1670_cov_136.353788_g7108_i0.p1","ko:_1","K03262"
"NODE_10736_length_1670_cov_29.100188_g6512_i1.p1","ko:_1","K10808"
"NODE_10746_length_1669_cov_22.426692_g5890_i1.p2","ko:_1","K04087"
"NODE_1074_length_4017_cov_63.222617_g737_i0.p1","ko:_1","K05236"
"NODE_10750_length_1669_cov_8.030702_g7119_i0.p2","ko:_1","K06173"
"NODE_10750_length_1669_cov_8.030702_g7119_i0.p2","ko:_2","K20674"
"NODE_10752_length_1668_cov_350.987461_g7121_i0.p1","ko:_1","K04575"
"NODE_10753_length_1668_cov_314.378683_g7122_i0.p2","ko:_1","K08770"
"NODE_10756_length_1668_cov_62.448903_g7094_i2.p1","ko:_1","K00121"
"NODE_10756_length_1668_cov_62.448903_g7094_i2.p2","ko:_1","K00121"
"NODE_10759_length_1668_cov_21.051411_g7126_i0.p1","ko:_1","K00831"
"NODE_1075_length_4017_cov_32.227941_g133_i3.p1","ko:_1","K08798"
"NODE_10760_length_1668_cov_16.739812_g7127_i0.p1","ko:_1","K11323"
"NODE_10763_length_1668_cov_8.037618_g7130_i0.p1","ko:_1","K06670"
"NODE_10764_length_1668_cov_7.452665_g7130_i1.p1","ko:_1","K06670"
"NODE_10765_length_1667_cov_88.424090_g5954_i2.p1","ko:_1","K02575"
"NODE_10766_length_1667_cov_50.254705_g7131_i0.p1","ko:_1","K08679"
"NODE_10767_length_1667_cov_49.819950_g7131_i1.p1","ko:_1","K08679"
"NODE_10768_length_1667_cov_49.683187_g7132_i0.p1","ko:_1","K03065"
"NODE_1076_length_4017_cov_32.199037_g133_i4.p1","ko:_1","K08282"
"NODE_1076_length_4017_cov_32.199037_g133_i4.p1","ko:_2","K15503"
"NODE_1076_length_4017_cov_32.199037_g133_i4.p1","ko:_3","K17593"
"NODE_1076_length_4017_cov_32.199037_g133_i4.p2","ko:_1","K18808"
"NODE_10772_length_1667_cov_26.678795_g7134_i0.p1","ko:_1","K10692"
"NODE_10773_length_1667_cov_25.926600_g7135_i0.p1","ko:_1","K01507"
"NODE_10776_length_1667_cov_15.516939_g7138_i0.p1","ko:_1","K04371"
"NODE_10781_length_1667_cov_9.973651_g6617_i1.p1","ko:_1","K18192"
"NODE_10782_length_1666_cov_339.067797_g7140_i0.p1","ko:_1","K02133"
"NODE_10791_length_1666_cov_5.597615_g7147_i0.p1","ko:_1","K05917"
"NODE_10793_length_1665_cov_328.280779_g7149_i0.p1","ko:_1","K01845"
"NODE_10794_length_1665_cov_135.637563_g7150_i0.p1","ko:_1","K00218"
"NODE_10796_length_1665_cov_41.528266_g7151_i0.p4","ko:_1","K10536"
"NODE_10796_length_1665_cov_41.528266_g7151_i0.p3","ko:_1","K10536"
"NODE_10797_length_1665_cov_39.175879_g7152_i0.p1","ko:_1","K00655"
"NODE_10798_length_1665_cov_32.598618_g7153_i0.p1","ko:_1","K19041"
"NODE_1079_length_4012_cov_73.747906_g662_i3.p3","ko:_1","K07208"
